,airport_code,airport_name,year,month,ntsb_accidents,ntsb_incidents,faa_incidents,dataset
50144,APA,Denver Centennial,1984,5,0.0,0.0,1.0,faa
1413,APA,Centennial Airport,1984,6,1.0,0.0,0.0,ntsb
50145,APA,Denver Centennial,1984,6,0.0,0.0,1.0,faa
1414,APA,Centennial Airport,1984,7,1.0,0.0,0.0,ntsb
50146,APA,Denver Centennial,1984,7,0.0,0.0,3.0,faa
1415,APA,Centennial Airport,1985,2,1.0,0.0,0.0,ntsb
50150,APA,Denver Centennial,1985,2,0.0,0.0,4.0,faa
1418,APA,Centennial Airport,1985,8,1.0,0.0,0.0,ntsb
50152,APA,Denver Centennial,1985,8,0.0,0.0,4.0,faa
1419,APA,Centennial Airport,1985,11,1.0,0.0,0.0,ntsb
50155,APA,Denver Centennial,1985,11,0.0,0.0,6.0,faa
1420,APA,Centennial Airport,1985,12,2.0,0.0,0.0,ntsb
50156,APA,Denver Centennial,1985,12,0.0,0.0,1.0,faa
1421,APA,Centennial Airport,1986,5,1.0,0.0,0.0,ntsb
50160,APA,Denver Centennial,1986,5,0.0,0.0,1.0,faa
1422,APA,Centennial Airport,1986,9,2.0,0.0,0.0,ntsb
50164,APA,Denver Centennial,1986,9,0.0,0.0,2.0,faa
1423,APA,Centennial Airport,1986,11,1.0,0.0,0.0,ntsb
50166,APA,Denver Centennial,1986,11,0.0,0.0,1.0,faa
1424,APA,Centennial Airport,1986,12,1.0,0.0,0.0,ntsb
50167,APA,Denver Centennial,1986,12,0.0,0.0,3.0,faa
1427,APA,Centennial Airport,1987,5,1.0,0.0,0.0,ntsb
50169,APA,Denver Centennial,1987,5,0.0,0.0,1.0,faa
1428,APA,Centennial Airport,1987,8,2.0,0.0,0.0,ntsb
50171,APA,Denver Centennial,1987,8,0.0,0.0,4.0,faa
1429,APA,Centennial Airport,1988,2,1.0,0.0,0.0,ntsb
50176,APA,Denver Centennial,1988,2,0.0,0.0,3.0,faa
1430,APA,Centennial Airport,1988,4,1.0,0.0,0.0,ntsb
50177,APA,Denver Centennial,1988,4,0.0,0.0,4.0,faa
1431,APA,Centennial Airport,1988,6,1.0,0.0,0.0,ntsb
50178,APA,Denver Centennial,1988,6,0.0,0.0,2.0,faa
1432,APA,Centennial Airport,1988,7,1.0,0.0,0.0,ntsb
50179,APA,Denver Centennial,1988,7,0.0,0.0,1.0,faa
