Group,City served,FAA,IATA,ICAO,Airport name,Role,Enpl.
Other public-use airports (not listed in NPIAS),Emmett,2E2,,,Sharpe's Strip,,
Other public-use airports (not listed in NPIAS),Empire,Y87,,,Empire Airport,,
Other public-use airports (not listed in NPIAS),Flushing,3DA,,,Dalton Airport,,
Other public-use airports (not listed in NPIAS),Fowlerville,65G,,,Maple Grove Airport,,
Other public-use airports (not listed in NPIAS),Frankenmuth,66G,,,"William ""Tiny"" Zehnder Field",,
Other public-use airports (not listed in NPIAS),Fruitport,39Z,,,Flying-A-Ranch Airport,,
Other public-use airports (not listed in NPIAS),Gaylord,4Y4,,,Lakes of the North Airport,,
Other public-use airports (not listed in NPIAS),Genesee,68G,,,Duford Field,,
Other public-use airports (not listed in NPIAS),Gladwin,5M6,,,Sugar Springs Airport,,
Other public-use airports (not listed in NPIAS),Grand Marais,Y98,,,Grand Marais Airport,,
Other public-use airports (not listed in NPIAS),Grant,01C,,,Grant Airport,,
Other public-use airports (not listed in NPIAS),Gregory,69G,,,Richmond Field,,
Other public-use airports (not listed in NPIAS),Hale,H80,,,Field of Dreams Airport,,
Other public-use airports (not listed in NPIAS),Harrietta,4Y9,,,Bunch's Half Acre Airport,,
Other public-use airports (not listed in NPIAS),Harrison,80D,,,Clare County Airport,,
Other public-use airports (not listed in NPIAS),Harrisville,5Y0,,,Harrisville Airport (Harrisville City Airport),,
Other public-use airports (not listed in NPIAS),Harsens Island,Z92,,,Harsens Island Airport,,
Other public-use airports (not listed in NPIAS),Hessel,5Y1,,,Albert J. Lindberg Airport,,
Other public-use airports (not listed in NPIAS),Hillman,Y95,,,Hillman Airport,,
Other public-use airports (not listed in NPIAS),Holland,HLM,HLM,KHLM,Park Township Airport,,4
Other public-use airports (not listed in NPIAS),Houghton Lake Heights,5Y2,,,Houghton Lake State Airport,,
Other public-use airports (not listed in NPIAS),Howell,4Y1,,,Raether Airport,,
Other public-use airports (not listed in NPIAS),Howell,13M,,,Aeronut Park Balloonport,,
Other public-use airports (not listed in NPIAS),Indian River,Y65,,,Calvin Campbell Municipal Airport,,
Other public-use airports (not listed in NPIAS),Interlochen,Y88,,,Green Lake Airport (Green Lake Township Airport),,
Other public-use airports (not listed in NPIAS),Iron River,Y73,,,Stambaugh Airport,,
Other public-use airports (not listed in NPIAS),Ishpeming,M61,,,Edward F Johnson Airport,,
Other public-use airports (not listed in NPIAS),Jenison,08C,,,Riverview Airport,,
Other public-use airports (not listed in NPIAS),Kalamazoo,4N0,,,Newman's Airport,,
Other public-use airports (not listed in NPIAS),Kalkaska,Y89,,,Kalkaska City Airport (Kalkaska Airport),,
Other public-use airports (not listed in NPIAS),Kent City,24M,,,Wilderness Airpark,,
Other public-use airports (not listed in NPIAS),Laingsburg,15W,,,Dennis Farms Airport,,
Other public-use airports (not listed in NPIAS),Lake City,Y91,,,Home Acres Sky Ranch Airport,,
Other public-use airports (not listed in NPIAS),Lake Isabella,D15,,,Lake Isabella - Cal Brewer Memorial Airport (was Lake Isabella Airpark),,
Other public-use airports (not listed in NPIAS),Lewiston,8M8,,,Garland Airport (Eagle II Airport),,
Other public-use airports (not listed in NPIAS),Lexington,7MI,,,Flugplatz Airport,,
Other public-use airports (not listed in NPIAS),Lincoln,3L7,,,"Milwrick Flying ""M"" Airport (was Flying ""M"" Ranch Airport)",,
Other public-use airports (not listed in NPIAS),Linden,9G2,,,Price's Airport,,
Other public-use airports (not listed in NPIAS),Lowell,24C,,,Lowell City Airport,,
Other public-use airports (not listed in NPIAS),Luzerne,5Y4,,,Lost Creek Airport,,
Other public-use airports (not listed in NPIAS),Mancelona,D90,,,Mancelona Municipal Airport,,
Other public-use airports (not listed in NPIAS),Manchester,75G,,,Rossettie Airport,,
Other public-use airports (not listed in NPIAS),Marine City,76G,,,Marine City Airport,,
Other public-use airports (not listed in NPIAS),Mecosta,0C5,,,Canadian Lakes Airport,,
Other public-use airports (not listed in NPIAS),Mecosta,27C,,,Mecosta Morton Airport (Mecosta-Morton Airport),,
Other public-use airports (not listed in NPIAS),Moorestown,6Y0,,,Moorestown Airpark,,
Other public-use airports (not listed in NPIAS),Munising,5Y7,,,Hanley Field,,
Other public-use airports (not listed in NPIAS),Napoleon,3NP,,,Napoleon Airport,,
Other public-use airports (not listed in NPIAS),Napoleon,6H4,,,Van Wagnen Airport (was Day Field),,
Other public-use airports (not listed in NPIAS),Napoleon,26W,,,Wolf Lake Airport,,
Other public-use airports (not listed in NPIAS),Northport,5D5,,,Woolsey Memorial Airport,,
Other public-use airports (not listed in NPIAS),Nunica,33C,,,Jablonski Airport,,
Other public-use airports (not listed in NPIAS),Nunica,5N7,,,Hat Field (Hatfield Airport),,
Other public-use airports (not listed in NPIAS),Parchment,2H4,,,"Triple ""H"" Airport",,
Other public-use airports (not listed in NPIAS),Paw Paw,2C5,,,Almena Airport,,
Other public-use airports (not listed in NPIAS),Petersburg,88G,,,Gradolph Field,,
Other public-use airports (not listed in NPIAS),Pinconning,52I,,,Gross Airport,,
Other public-use airports (not listed in NPIAS),Plainwell,61D,,,Plainwell Municipal Airport,,
Other public-use airports (not listed in NPIAS),Port Austin,29C,,,Grindstone Air Harbor,,
Other public-use airports (not listed in NPIAS),Pullman,M86,,,Walle Field (Walle Airfield),,
Other public-use airports (not listed in NPIAS),Ray,57D,,,Ray Community Airport,,
Other public-use airports (not listed in NPIAS),Reed City,RCT,RCT,KRCT,Nartron Field,,
Other public-use airports (not listed in NPIAS),Rockford,35C,,,Wells Airport,,
Other public-use airports (not listed in NPIAS),Roscommon,3RC,,,Roscommon Conservation Airport,,
Other public-use airports (not listed in NPIAS),Sandusky,96G,,,Cowley Field,,
Other public-use airports (not listed in NPIAS),Sault Ste. Marie,ANJ,,KANJ,Sault Ste. Marie Municipal Airport (Sanderson Field),,83
Other public-use airports (not listed in NPIAS),Schoolcraft,P97,,,Prairie Ronde Airport,,
Other public-use airports (not listed in NPIAS),Sebewaing,98G,,,Sebewaing Airport (Sebewaing Township Airport),,
Other public-use airports (not listed in NPIAS),Sidnaw,6Y9,,,Prickett–Grooms Field,,
Other public-use airports (not listed in NPIAS),Smiths Creek,11G,,,Johnson Field,,
Other public-use airports (not listed in NPIAS),St. Clair,5Y5,,,David's Landing,,
Other public-use airports (not listed in NPIAS),St. Helen,6Y6,,,St. Helen Airport,,
Other public-use airports (not listed in NPIAS),St. Johns,2S3,,,Archer Memorial Field,,
Other public-use airports (not listed in NPIAS),St. Johns,97G,,,Glowacki Airport,,
Other public-use airports (not listed in NPIAS),St. Johns,3S5,,,Schiffer Acres Airport,,
Other public-use airports (not listed in NPIAS),St. Johns,39T,,,Tripp Creek Airport,,
Other public-use airports (not listed in NPIAS),Stanwood,38C,,,Cain Field,,
Other public-use airports (not listed in NPIAS),Sunfield,C43,,,Hiram Cure Airfield,,
Other public-use airports (not listed in NPIAS),Tecumseh,34G,,,Merillat Airport,,
Other public-use airports (not listed in NPIAS),Tecumseh,3TE,,,Meyers-Diver's Airport (was Al Meyers Airport),,
Other public-use airports (not listed in NPIAS),Thompsonville,7Y2,,,Thompsonville Airport,,
Other public-use airports (not listed in NPIAS),Topinabee,Y30,,,Pbeaaye Airport,,
Other public-use airports (not listed in NPIAS),Traverse City,Y04,,,Sugar Loaf Resort Airport (Wallace G. Fryer Airfield),,
Other public-use airports (not listed in NPIAS),Traverse City,4M0,,,Lake Ann Airway Estates Airport,,
Other public-use airports (not listed in NPIAS),Watervliet,40C,,,Watervliet Municipal Airport,,
Other public-use airports (not listed in NPIAS),Wayland,41C,,,Calkins Field,,
Other public-use airports (not listed in NPIAS),Weidman,D11,,,Ojibwa Airpark,,
Other public-use airports (not listed in NPIAS),Westphalia,3F5,,,Forest Hill Airport,,
Other public-use airports (not listed in NPIAS),Williamston,89Y,,,Maidens Airport,,
Other public-use airports (not listed in NPIAS),Winn,53W,,,Woodruff Lake Airport,,
Other public-use airports (not listed in NPIAS),Yale,48G,,,Gavagan Field,,
Other public-use airports (not listed in NPIAS),Yale,4Y8,,,Para Field,,
Other public-use airports (not listed in NPIAS),Yale,D20,,,Yale Airport,,
