,iata,wiki_title,state_names,num_words_matched,max_state
HARTSFIELD INTL.,JFK,John F. Kennedy International Airport - Wikipedia,"{'Alabama': 1, 'Alaska': 16, 'Arizona': 3, 'California': 2, 'Florida': 7, 'Georgia': 1, 'Hawaii': 16, 'Indiana': 9, 'Kentucky': 8, 'Massachusetts': 11, 'Mississippi': 1, 'Nevada': 1, 'New Jersey': 56, 'New York': 264, 'Ohio': 1, 'Oregon': 2, 'Pennsylvania': 2, 'Puerto Rico': 1, 'Washington': 44, 'Wisconsin': 1}",0,False
BLAIR LAKES LANDING STRIP,MCO,Orlando International Airport - Wikipedia,"{'Alaska': 7, 'California': 2, 'Colorado': 3, 'Delaware': 4, 'Florida': 284, 'Georgia': 1, 'Illinois': 3, 'Indiana': 15, 'Kansas': 9, 'Kentucky': 8, 'Massachusetts': 1, 'Michigan': 1, 'New Jersey': 1, 'New Mexico': 1, 'New York': 13, 'North Carolina': 1, 'Oklahoma': 1, 'Pennsylvania': 1, 'Puerto Rico': 1, 'Texas': 1, 'Washington': 35}",0,False
CURLES NECK FARM,RIC,Richmond International Airport - Wikipedia,"{'Florida': 5, 'Georgia': 1, 'Illinois': 1, 'Indiana': 3, 'Kentucky': 4, 'Massachusetts': 1, 'New Jersey': 2, 'New York': 19, 'North Carolina': 1, 'Pennsylvania': 1, 'Texas': 1, 'Virginia': 91, 'Washington': 29}",0,True
SHULTZ (PRIVATE),IND,Indianapolis International Airport - Wikipedia,"{'Alaska': 4, 'Arizona': 1, 'California': 2, 'Colorado': 2, 'Delaware': 3, 'Florida': 16, 'Georgia': 2, 'Illinois': 1, 'Indiana': 366, 'Iowa': 2, 'Kansas': 6, 'Massachusetts': 1, 'Michigan': 4, 'Minnesota': 1, 'Nevada': 1, 'New Jersey': 1, 'New York': 7, 'North Carolina': 1, 'Ohio': 2, 'Tennessee': 1, 'Texas': 2, 'Washington': 14}",0,False
JONES FLYING SERVICE,MSY,Louis Armstrong New Orleans International Airport - Wikipedia,"{'Alabama': 3, 'Alaska': 11, 'California': 2, 'Colorado': 1, 'Florida': 6, 'Georgia': 6, 'Hawaii': 1, 'Indiana': 6, 'Kansas': 3, 'Kentucky': 6, 'Louisiana': 109, 'New York': 12, 'North Carolina': 1, 'Tennessee': 5, 'Texas': 10, 'Vermont': 3, 'Washington': 20}",0,False
HUNT AIRPORT,MDW,Midway International Airport - Wikipedia,"{'Arizona': 1, 'California': 1, 'Colorado': 1, 'Florida': 9, 'Georgia': 1, 'Illinois': 93, 'Indiana': 10, 'Kansas': 4, 'Kentucky': 2, 'Maryland': 2, 'Minnesota': 1, 'Mississippi': 3, 'Nevada': 1, 'New York': 3, 'Oklahoma': 1, 'Pennsylvania': 1, 'Texas': 2, 'Washington': 24, 'Wisconsin': 1}",0,False
DIRT ROAD,GCW,Grand Canyon West Airport - Wikipedia,{'Arizona': 39},0,True
SHAW ISLAND AIRPORT,BOS,Logan International Airport - Wikipedia,"{'Alaska': 12, 'California': 4, 'Connecticut': 13, 'Florida': 13, 'Georgia': 1, 'Hawaii': 5, 'Illinois': 1, 'Indiana': 12, 'Kansas': 3, 'Kentucky': 7, 'Maine': 7, 'Maryland': 1, 'Massachusetts': 187, 'New Hampshire': 8, 'New York': 18, 'North Carolina': 1, 'Pennsylvania': 1, 'Rhode Island': 5, 'Vermont': 12, 'Washington': 39}",0,False
LAFAYETTE,LFT,Lafayette Regional Airport - Wikipedia,"{'Florida': 3, 'Georgia': 1, 'Louisiana': 48, 'New York': 1, 'Texas': 28, 'Washington': 1}",1,False
STANDIFORD FIELD,SDF,Louisville International Airport - Wikipedia,"{'Colorado': 1, 'Florida': 4, 'Georgia': 3, 'Illinois': 2, 'Indiana': 8, 'Iowa': 2, 'Kansas': 3, 'Kentucky': 131, 'Maryland': 1, 'Michigan': 1, 'New York': 5, 'North Carolina': 1, 'Ohio': 7, 'Oklahoma': 1, 'Tennessee': 2, 'Texas': 2, 'Washington': 15}",0,True
