tracon_code,month,year,faa_incidents
CLE,1,2010,1
CLE,1,2016,1
CLE,2,1988,4
CLE,2,1989,2
CLE,2,1991,1
CLE,2,1992,1
CLE,2,1996,1
CLE,2,1997,4
CLE,2,1998,2
CLE,2,1999,4
CLE,2,2003,1
CLE,2,2004,1
CLE,2,2008,3
CLE,2,2010,1
CLE,2,2011,1
CLE,2,2016,1
CLE,2,2018,1
CLE,3,1988,1
CLE,3,1990,1
CLE,3,1992,3
CLE,3,1993,3
CLE,3,1995,2
CLE,3,1996,1
CLE,3,1997,1
CLE,3,1998,4
CLE,3,2000,1
CLE,3,2001,2
CLE,3,2003,1
CLE,3,2004,2
CLE,3,2005,1
CLE,3,2008,1
CLE,3,2011,2
CLE,3,2013,1
CLE,4,1988,1
CLE,4,1991,1
CLE,4,1993,2
CLE,4,1994,1
CLE,4,1995,1
CLE,4,1996,3
CLE,4,1997,3
CLE,4,1998,2
CLE,4,1999,2
CLE,4,2001,1
CLE,4,2002,1
CLE,4,2003,3
CLE,4,2004,1
CLE,4,2008,1
CLE,4,2010,2
CLE,5,1988,6
CLE,5,1989,1
CLE,5,1990,2
CLE,5,1991,1
CLE,5,1992,1
CLE,5,1993,2
CLE,5,1995,2
CLE,5,1996,1
CLE,5,1997,9
CLE,5,1998,1
CLE,5,1999,2
CLE,5,2002,1
CLE,5,2004,4
CLE,5,2005,1
CLE,5,2008,1
CLE,6,1988,1
CLE,6,1989,1
CLE,6,1991,1
CLE,6,1992,1
CLE,6,1993,1
CLE,6,1995,2
CLE,6,1996,2
CLE,6,1997,3
CLE,6,1998,2
CLE,6,1999,1
CLE,6,2002,2
CLE,6,2003,1
CLE,7,1988,1
CLE,7,1990,1
CLE,7,1993,2
CLE,7,1995,2
CLE,7,1996,3
CLE,7,1997,3
CLE,7,1999,2
CLE,7,2001,1
CLE,7,2002,2
CLE,7,2004,1
CLE,7,2008,1
CLE,7,2014,1
CLE,8,1988,1
CLE,8,1989,1
CLE,8,1995,3
CLE,8,1996,2
CLE,8,1997,1
CLE,8,2000,1
CLE,8,2001,2
CLE,8,2003,2
CLE,8,2006,2
CLE,8,2009,1
CLE,9,1992,3
CLE,9,1993,5
CLE,9,1994,1
CLE,9,1995,4
CLE,9,1996,2
CLE,9,1997,3
CLE,9,1999,3
CLE,9,2000,1
CLE,9,2002,2
CLE,9,2003,1
CLE,9,2004,1
CLE,9,2009,2
CLE,9,2011,1
CLE,10,1989,1
CLE,10,1992,3
CLE,10,1993,3
CLE,10,1995,2
CLE,10,1996,1
CLE,10,1997,12
CLE,10,1998,4
CLE,10,1999,2
CLE,10,2002,3
CLE,10,2003,1
CLE,10,2004,1
CLE,10,2005,1
CLE,10,2006,1
CLE,10,2015,1
CLE,10,2018,1
CLE,11,1988,1
CLE,11,1990,3
CLE,11,1992,2
CLE,11,1994,1
CLE,11,1995,2
CLE,11,1996,9
CLE,11,1997,8
CLE,11,1998,1
CLE,11,1999,1
CLE,11,2001,1
CLE,11,2004,3
CLE,11,2006,1
CLE,11,2008,1
CLE,11,2009,1
CLE,12,1989,1
CLE,12,1992,2
CLE,12,1995,1
CLE,12,1996,2
CLE,12,1998,5
CLE,12,1999,1
CLE,12,2004,3
CLE,12,2007,1
CQF,1,1993,1
CQF,2,2001,1
CQF,3,1992,1
CQF,3,2010,1
CQF,4,2002,1
CQF,6,1990,1
CQF,6,1995,2
CQF,6,2018,1
CQF,6,2019,1
CQF,7,1990,1
CQF,7,2019,1
CQF,8,1993,1
