,iata,wiki_title
guam international,GUM,Antonio B. Won Pat International Airport - Wikipedia
gustine municipal,MCE,Merced Regional Airport - Wikipedia
gwinnett county briscoe field,LZU,Gwinnett County Airport - Wikipedia
haddock field,,Kemayoran Airport - Wikipedia
hahn,HHN,Frankfurt–Hahn Airport - Wikipedia
halls crossing municipal,AMS,Amsterdam Airport Schiphol - Wikipedia
hamburg international,HAM,Hamburg Airport - Wikipedia
hamilton field,YHM,John C. Munro Hamilton International Airport - Wikipedia
hampton airfield,BRS,Bristol Airport - Wikipedia
hanover,HAJ,Hannover Airport - Wikipedia
harbor springs,none,Harbor Springs Municipal Airport - Wikipedia
harbour,MHH,Marsh Harbour Airport - Wikipedia
harrisburg municipal,MDT,Harrisburg International Airport - Wikipedia
haycock,,Haycock Airport - Wikipedia
hayes municipal,SLC,Salt Lake City International Airport - Wikipedia
heathrow,LHR,Heathrow Airport - Wikipedia
heathrow international,LHR,Heathrow Airport - Wikipedia
hector municipal,FAR,Hector International Airport - Wikipedia
hendersonville,AVL,Asheville Regional Airport - Wikipedia
henry e rohlsen,STX,Henry E. Rohlsen Airport - Wikipedia
herndon,ORL,Orlando Executive Airport - Wikipedia
hidden lake,none,Hidden Lake Airport - Wikipedia
highland county,none,Highland County Airport - Wikipedia
hilton municipal,SAV,Savannah/Hilton Head International Airport - Wikipedia
hobbs municipal,HOB,Lea County Regional Airport - Wikipedia
hobby field,HOU,William P. Hobby Airport - Wikipedia
hollander's,AMS,Amsterdam Airport Schiphol - Wikipedia
hollands international field,SAN,San Diego International Airport - Wikipedia
hong kong international,HKG,Hong Kong International Airport - Wikipedia
hopewell,KEB,Nanwalek Airport - Wikipedia
hopkins field,CLE,Cleveland Hopkins International Airport - Wikipedia
hospital wing,LUA,Tenzing–Hillary Airport - Wikipedia
hunter municipal,YKZ,Buttonville Municipal Airport - Wikipedia
husband field,AMA,Rick Husband Amarillo International Airport - Wikipedia
incheon international,ICN,Incheon International Airport - Wikipedia
inverness,INV,Inverness Airport - Wikipedia
iron county,IWD,Gogebic–Iron County Airport - Wikipedia
isla grande municipal,SIG,Fernando Luis Ribas Dominicci Airport - Wikipedia
isla verde international,SJU,Luis Muñoz Marín International Airport - Wikipedia
jackson hole municipal,JAC,Jackson Hole Airport - Wikipedia
jackson private,JAN,Jackson–Medgar Wiley Evers International Airport - Wikipedia
jamaica international,MBJ,Sangster International Airport - Wikipedia
james m cox dayton international,DAY,Dayton International Airport - Wikipedia
javika,MJV,Murcia–San Javier Airport - Wikipedia
jay,PAT,Jay Prakash Narayan Airport - Wikipedia
jim hamilton l.b. owens,CUB,Jim Hamilton–L.B. Owens Airport - Wikipedia
johnson,none,Johnson Creek Airport - Wikipedia
johnson creek,none,Johnson Creek Airport - Wikipedia
johnsons,none,Johnsons Strawberry Farm Airport - Wikipedia
johnston,,Johnston Atoll Airport - Wikipedia
jorge chavez international,LIM,Jorge Chávez International Airport - Wikipedia
jsi,JSI,Skiathos International Airport - Wikipedia
juan santamaria international,SJO,Juan Santamaría International Airport - Wikipedia
junction,GJT,Grand Junction Regional Airport - Wikipedia
kabul,KBL,Hamid Karzai International Airport - Wikipedia
kalaeloa airport,JRF,Kalaeloa Airport - Wikipedia
kalaeloa john rodgers field,JRF,Kalaeloa Airport - Wikipedia
kansas city municipal,MKC,Charles B. Wheeler Downtown Airport - Wikipedia
kee field,LAX,Los Angeles International Airport - Wikipedia
kendall tamiami executive,TMB,Miami Executive Airport - Wikipedia
kennedy airfield,JFK,John F. Kennedy International Airport - Wikipedia
kenner international,MSY,Louis Armstrong New Orleans International Airport - Wikipedia
kent,MSE,Manston Airport - Wikipedia
kent county,GRR,Gerald R. Ford International Airport - Wikipedia
kern field,BFL,Meadows Field Airport - Wikipedia
key west,EYW,Key West International Airport - Wikipedia
keystone height municipal,TPA,Tampa International Airport - Wikipedia
kilgore,WSG,Washington County Airport (Pennsylvania) - Wikipedia
kindred municipal,CLT,Charlotte Douglas International Airport - Wikipedia
king,JED,King Abdulaziz International Airport - Wikipedia
kingdom field,SAN,San Diego International Airport - Wikipedia
knoxville municipal,OXV,Knoxville Municipal Airport - Wikipedia
kodiak,ADQ,Kodiak Airport - Wikipedia
kodiak international,ADQ,Kodiak Airport - Wikipedia
kona international at keahole,KOA,Kona International Airport - Wikipedia
krastel farms,DEN,Denver International Airport - Wikipedia
la guardia international,LGA,LaGuardia Airport - Wikipedia
lada,RIX,Riga International Airport - Wikipedia
lake charles municipal,SLC,Salt Lake City International Airport - Wikipedia
lake country regional,SLK,Adirondack Regional Airport - Wikipedia
lake jackson municipal,JAC,Jackson Hole Airport - Wikipedia
lake montezuma municipal,CEZ,Cortez Municipal Airport - Wikipedia
lake pomona municipal,ONT,Ontario International Airport - Wikipedia
lake tahoe municipal,SLC,Salt Lake City International Airport - Wikipedia
lake village,none,Lake Village Airport - Wikipedia
lakeland noble f. lee memorial field,ARV,Lakeland Airport - Wikipedia
lakes region,SLC,Salt Lake City International Airport - Wikipedia
lakeside,IWS,West Houston Airport - Wikipedia
lambert,STL,St. Louis Lambert International Airport - Wikipedia
landing municipal,SMO,Santa Monica Airport - Wikipedia
las angles international,DEN,Denver International Airport - Wikipedia
las vegas international,LAS,McCarran International Airport - Wikipedia
laurinburg maxton,MXE,Laurinburg–Maxton Airport - Wikipedia
lawrence field,BOS,Logan International Airport - Wikipedia
lawrence j timmerman,MWC,Lawrence J. Timmerman Airport - Wikipedia
lawton,LAW,Lawton–Fort Sill Regional Airport - Wikipedia
lawton fort sill regional,LAW,Lawton–Fort Sill Regional Airport - Wikipedia
lawton municipal,LAW,Lawton–Fort Sill Regional Airport - Wikipedia
lebanon warren county,none,Lebanon-Warren County Airport - Wikipedia
leroy municipal,DAY,Dayton International Airport - Wikipedia
lester b. pearson international,YYZ,Toronto Pearson International Airport - Wikipedia
lester field,YYZ,Toronto Pearson International Airport - Wikipedia
lexington airfield,CAE,Columbia Metropolitan Airport - Wikipedia
liberty landing,EWR,Newark Liberty International Airport - Wikipedia
lindbergh,SAN,San Diego International Airport - Wikipedia
lisbon airfield,LIS,Lisbon Airport - Wikipedia
logan,BOS,Logan International Airport - Wikipedia
london international,YXU,London International Airport - Wikipedia
long lake,SLC,Salt Lake City International Airport - Wikipedia
longview bridge medical emergency,DFW,Dallas/Fort Worth International Airport - Wikipedia
lorain county regional,,Lorain County Regional Airport - Wikipedia
los angeles municipal,LAX,Los Angeles International Airport - Wikipedia
los angles international,JFK,John F. Kennedy International Airport - Wikipedia
louisville international standiford field,SDF,Louisville International Airport - Wikipedia
love field,DAL,Dallas Love Field - Wikipedia
loveland municipal,FNL,Northern Colorado Regional Airport - Wikipedia
lower creek,YZA,Cache Creek Airport - Wikipedia
lucas,None,Cabo San Lucas International Airport - Wikipedia
luck field,LUK,Cincinnati Municipal Lunken Airport - Wikipedia
lynden,NAS,Lynden Pindling International Airport - Wikipedia
lynden pindling international,NAS,Lynden Pindling International Airport - Wikipedia
maben,none,Maben Airport - Wikipedia
mackay,MKY,Mackay Airport - Wikipedia
macon municipal,MCN,Middle Georgia Regional Airport - Wikipedia
major samuel b cornelius field,none,Major Samuel B Cornelius Field Airport - Wikipedia
mallory,none,Mallory Airport - Wikipedia
mandan municipal,BIS,Bismarck Municipal Airport - Wikipedia
mark anton,none,Mark Anton Airport - Wikipedia
marshall islands international,MAJ,Marshall Islands International Airport - Wikipedia
mathews,BNA,Nashville International Airport - Wikipedia
may,WWD,Cape May Airport - Wikipedia
mc clellan airfield,MCC,Sacramento McClellan Airport - Wikipedia
mc cook ben nelson regional,MCK,McCook Ben Nelson Regional Airport - Wikipedia
mc coy,MCO,Orlando International Airport - Wikipedia
mc grath,MCG,McGrath Airport - Wikipedia
mc kenzie field,CLL,Easterwood Airport - Wikipedia
mc kinley national park,MCL,McKinley National Park Airport - Wikipedia
mccook municipal,MCK,McCook Ben Nelson Regional Airport - Wikipedia
mcdowell hospital,LGA,LaGuardia Airport - Wikipedia
mcgee municipal,BAF,Westfield-Barnes Regional Airport - Wikipedia
mcintosh,SEA,Seattle–Tacoma International Airport - Wikipedia
meadowlark,L16,Meadowlark Airport - Wikipedia
mercedita,PSE,Mercedita International Airport - Wikipedia
merle k mudhole smith,CDV,Merle K. (Mudhole) Smith Airport - Wikipedia
merritt field,YMB,Merritt Airport - Wikipedia
mexico city international,MEX,Mexico City International Airport - Wikipedia
mexico city municipal,HHR,Hawthorne Municipal Airport (California) - Wikipedia
mexico international,MEX,Mexico City International Airport - Wikipedia
miami,MIA,Miami International Airport - Wikipedia
michael,SMK,St. Michael Airport - Wikipedia
middle bass island,none,Middle Bass Island Airport - Wikipedia
middletown international,MDT,Harrisburg International Airport - Wikipedia
middletown municipal,MWO,Middletown Regional Airport - Wikipedia
mills field,SFO,San Francisco International Airport - Wikipedia
minneapolis,MSP,Minneapolis–Saint Paul International Airport - Wikipedia
minneapolis international,MSP,Minneapolis–Saint Paul International Airport - Wikipedia
minneapolis municipal,MCW,Mason City Municipal Airport - Wikipedia
mitchell,MKE,Milwaukee Mitchell International Airport - Wikipedia
mitchell's,MKE,Milwaukee Mitchell International Airport - Wikipedia
montague municipal,ROF,Montague Airport (California) - Wikipedia
montague yreka rohrer field,ROF,Montague Airport (California) - Wikipedia
moreton airpark,BNE,Brisbane Airport - Wikipedia
morrison,PBI,Palm Beach International Airport - Wikipedia
morrisville stowe state,MVL,Morrisville–Stowe State Airport - Wikipedia
mountain air park,BJC,Rocky Mountain Metropolitan Airport - Wikipedia
mountain top,BJC,Rocky Mountain Metropolitan Airport - Wikipedia
mountain view wilcox memorial field,none,Mountain View Airport (Arkansas) - Wikipedia
mueller farm,BBJ,Bitburg Airport - Wikipedia
municipal international,DAY,Dayton International Airport - Wikipedia
municipal office bldg,JFK,John F. Kennedy International Airport - Wikipedia
napoleon,AJA,Ajaccio Napoleon Bonaparte Airport - Wikipedia
narita international,NRT,Narita International Airport - Wikipedia
nassau,NAS,Lynden Pindling International Airport - Wikipedia
nassau international,NAS,Lynden Pindling International Airport - Wikipedia
natomas,SMF,Sacramento International Airport - Wikipedia
new bedford municipal,EWB,New Bedford Regional Airport - Wikipedia
new carlisle municipal,CAX,Carlisle Lake District Airport - Wikipedia
new koliganek municipal,DLG,Dillingham Airport - Wikipedia
new meadows,BFL,Meadows Field Airport - Wikipedia
new tokyo international,NRT,Narita International Airport - Wikipedia
new town municipal,HYA,Barnstable Municipal Airport - Wikipedia
new york city international,JFK,John F. Kennedy International Airport - Wikipedia
new york international,JFK,John F. Kennedy International Airport - Wikipedia
newberry municipal,LAX,Los Angeles International Airport - Wikipedia
nichols,MNL,Ninoy Aquino International Airport - Wikipedia
noble county,ARV,Lakeland Airport - Wikipedia
norfolk municipal,ORF,Norfolk International Airport - Wikipedia
north cedar,CID,The Eastern Iowa Airport - Wikipedia
north eleuthra municipal,CLT,Charlotte Douglas International Airport - Wikipedia
north little ro municipal,LTN,Luton Airport - Wikipedia
north plains,HPN,Westchester County Airport - Wikipedia
north texas regional perrin field,PNX,North Texas Regional Airport - Wikipedia
o'hare international arpt,TUS,Tucson International Airport - Wikipedia
o'neal,,O'Neal Airport - Wikipedia
ofu,OFU,Ofu Airport - Wikipedia
ohare international,ORD,O'Hare International Airport - Wikipedia
ohio university snyder field,ATO,Gordon K. Bush Airport - Wikipedia
olsen,TOS,"Tromsø Airport, Langnes - Wikipedia"
omaha municipal,OMA,Eppley Airfield - Wikipedia
one oak,OAK,Oakland International Airport - Wikipedia
opa locka executive,OPF,Miami-Opa Locka Executive Airport - Wikipedia
opa locka municipal,OPF,Miami-Opa Locka Executive Airport - Wikipedia
opa locka west,none,Opa-locka West Airport - Wikipedia
opalocka municipal,OPF,Miami-Opa Locka Executive Airport - Wikipedia
orange co municipal,LTN,Luton Airport - Wikipedia
orchard park municipal,ORD,O'Hare International Airport - Wikipedia
orlando international,MCO,Orlando International Airport - Wikipedia
orlando municipal,ORL,Orlando Executive Airport - Wikipedia
ostend international,OST,Ostend–Bruges International Airport - Wikipedia
ottawa executive,YND,Gatineau-Ottawa Executive Airport - Wikipedia
ottawa macdonald international,YOW,Ottawa Macdonald–Cartier International Airport - Wikipedia
pago pago international,PPG,Pago Pago International Airport - Wikipedia
panama city bay co international,CTG,Rafael Núñez International Airport - Wikipedia
paris orly,ORY,Orly Airport - Wikipedia
park hall,CAI,Cairo International Airport - Wikipedia
parker municipal,AHM,Ashland Municipal Airport - Wikipedia
payne,MLW,Spriggs Payne Airport - Wikipedia
perry international,SDF,Louisville International Airport - Wikipedia
peterborough municipal,YKZ,Buttonville Municipal Airport - Wikipedia
philadelhia international,PHL,Philadelphia International Airport - Wikipedia
philadelphia,PHL,Philadelphia International Airport - Wikipedia
phoenix mesa gateway,AZA,Phoenix–Mesa Gateway Airport - Wikipedia
pine river regional,MHT,Manchester–Boston Regional Airport - Wikipedia
pinehurst municipal,MDJ,Madras Municipal Airport - Wikipedia
pioneer village field,PBM,Johan Adolf Pengel International Airport - Wikipedia
pittsburgh city center,PIT,Pittsburgh International Airport - Wikipedia
pittsburgh municipal,MGW,Morgantown Municipal Airport - Wikipedia
pleasant hill,PSY,Port Stanley Airport - Wikipedia
plows & props,ACK,Nantucket Memorial Airport - Wikipedia
pohnpei international,PNI,Pohnpei International Airport - Wikipedia
point roberts municipal,STE,Stevens Point Municipal Airport - Wikipedia
ponciano arriaga international airport,SLP,San Luis Potosí International Airport - Wikipedia
pontotoc municipal,ADT,Ada Municipal Airport - Wikipedia
port columbus international,CMH,John Glenn Columbus International Airport - Wikipedia
portland troutdale,TTD,Portland–Troutdale Airport - Wikipedia
portsmouth municipal,PSM,Portsmouth International Airport at Pease - Wikipedia
prices,TPR,Tom Price Airport - Wikipedia
pullman moscow regional,PUW,Pullman–Moscow Regional Airport - Wikipedia
quinn,YBO,Bob Quinn Lake Airport - Wikipedia
rainbow,YOP,Rainbow Lake Airport - Wikipedia
raleigh durham municipal,RDU,Raleigh–Durham International Airport - Wikipedia
raleigh east,RDU,Raleigh–Durham International Airport - Wikipedia
red lion municipal,PNE,Northeast Philadelphia Airport - Wikipedia
red stewart airfield,LIY,MidCoast Regional Airport at Wright Army Airfield - Wikipedia
red wing municipal,OEO,L.O. Simenstad Municipal Airport - Wikipedia
redlands municipal,L12,Redlands Municipal Airport - Wikipedia
redmond municipal,RDM,Roberts Field - Wikipedia
reid eash,LAS,McCarran International Airport - Wikipedia
reykjavik international,KEF,Keflavík International Airport - Wikipedia
richard lloyd jones jr,RVS,Richard Lloyd Jones Jr. Airport - Wikipedia
richmond,RCM,Richmond Airport - Wikipedia
richmond field,RIC,Richmond International Airport - Wikipedia
