,year,month,tracon_code,num_obs,AtcAdvisoryMultCount_sum,word_count_sum,unique_word_count_sum,FAA_total_sum,FAA_unique_sum,NASA_total_sum,NASA_unique_sum,AtcAdvisoryMultCount_avg,word_count_avg,unique_word_count_avg,FAA_total_avg,FAA_unique_avg,NASA_total_avg,NASA_unique_avg
77,1998,8,MSP,1,1,287,139,8,3,63,30,1.0,287.0,139.0,8.0,3.0,63.0,30.0
78,1998,10,MIA,1,1,135,79,3,2,10,7,1.0,135.0,79.0,3.0,2.0,10.0,7.0
79,1998,11,LAX,1,1,114,61,3,2,23,10,1.0,114.0,61.0,3.0,2.0,23.0,10.0
80,1998,12,PHX,1,1,332,191,5,5,38,17,1.0,332.0,191.0,5.0,5.0,38.0,17.0
81,1999,3,SLC,1,1,212,125,7,4,20,15,1.0,212.0,125.0,7.0,4.0,20.0,15.0
82,1999,4,EWR,1,1,356,158,20,3,69,21,1.0,356.0,158.0,20.0,3.0,69.0,21.0
83,2000,1,TPA,1,1,131,65,4,1,21,10,1.0,131.0,65.0,4.0,1.0,21.0,10.0
84,2000,4,BWI,1,1,100,71,1,1,10,7,1.0,100.0,71.0,1.0,1.0,10.0,7.0
85,2000,5,SEA,1,1,326,146,1,1,28,9,1.0,326.0,146.0,1.0,1.0,28.0,9.0
86,2000,5,SFO,1,1,92,62,2,2,17,10,1.0,92.0,62.0,2.0,2.0,17.0,10.0
87,2000,6,CLT,1,1,20,19,2,1,1,1,1.0,20.0,19.0,2.0,1.0,1.0,1.0
88,2000,8,ATL,1,1,84,61,0,0,7,6,1.0,84.0,61.0,0.0,0.0,7.0,6.0
89,2000,9,DFW,1,1,215,127,5,3,25,17,1.0,215.0,127.0,5.0,3.0,25.0,17.0
90,2000,10,DCA,1,1,120,80,1,1,13,8,1.0,120.0,80.0,1.0,1.0,13.0,8.0
91,2001,1,DFW,1,1,68,40,3,2,18,9,1.0,68.0,40.0,3.0,2.0,18.0,9.0
92,2001,3,BWI,1,1,70,50,2,2,16,12,1.0,70.0,50.0,2.0,2.0,16.0,12.0
93,2001,7,EWR,1,1,399,179,3,2,34,19,1.0,399.0,179.0,3.0,2.0,34.0,19.0
94,2001,8,SFO,1,2,130,100,1,1,24,18,2.0,130.0,100.0,1.0,1.0,24.0,18.0
95,2001,10,BOS,1,2,100,77,9,6,22,16,2.0,100.0,77.0,9.0,6.0,22.0,16.0
96,2001,12,DFW,1,1,224,129,5,2,42,22,1.0,224.0,129.0,5.0,2.0,42.0,22.0
97,2002,2,IAD,1,1,129,85,2,1,21,16,1.0,129.0,85.0,2.0,1.0,21.0,16.0
98,2002,3,MIA,1,1,118,76,3,3,20,13,1.0,118.0,76.0,3.0,3.0,20.0,13.0
99,2002,3,PHL,1,1,115,78,9,7,19,15,1.0,115.0,78.0,9.0,7.0,19.0,15.0
100,2002,6,LAX,1,1,286,146,7,2,42,22,1.0,286.0,146.0,7.0,2.0,42.0,22.0
101,2002,10,BWI,1,1,129,75,0,0,18,6,1.0,129.0,75.0,0.0,0.0,18.0,6.0
102,2003,3,MCO,1,2,149,87,13,4,30,17,2.0,149.0,87.0,13.0,4.0,30.0,17.0
103,2003,3,ORD,1,2,204,122,10,4,43,27,2.0,204.0,122.0,10.0,4.0,43.0,27.0
104,2003,5,MCO,1,1,213,119,11,2,31,15,1.0,213.0,119.0,11.0,2.0,31.0,15.0
105,2003,5,PHX,1,2,696,278,7,5,77,38,2.0,696.0,278.0,7.0,5.0,77.0,38.0
106,2003,7,MIA,1,1,182,87,0,0,17,10,1.0,182.0,87.0,0.0,0.0,17.0,10.0
107,2003,7,ORD,1,1,99,69,6,4,22,16,1.0,99.0,69.0,6.0,4.0,22.0,16.0
