,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1995 To 01/1999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Facility,State,Region,Date,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
ABI ,TX,ASW,06/1998,CE,Towers with Radar,0,713,763,806,"2,282",0,0,0,0,0,23,987,"1,543",222,"2,775",0,0,0,0,0,"2,026","1,328","3,354","8,411","8,411"
ABI ,TX,ASW,07/1998,CE,Towers with Radar,1,594,739,619,"1,953",0,0,0,0,0,5,467,"2,288",238,"2,998",0,0,0,0,0,985,"1,305","2,290","7,241","7,241"
ABI ,TX,ASW,08/1998,CE,Towers with Radar,1,811,762,576,"2,150",0,0,0,0,0,9,150,"1,701",199,"2,059",0,0,0,0,0,"1,178","1,468","2,646","6,855","6,855"
ABI ,TX,ASW,09/1998,CE,Towers with Radar,0,808,884,842,"2,534",0,0,0,0,0,5,180,"1,482",207,"1,874",0,0,0,0,0,"1,312","1,758","3,070","7,478","7,478"
ABI ,TX,ASW,10/1998,CE,Towers with Radar,9,846,776,527,"2,158",0,0,0,0,0,23,188,"1,368",186,"1,765",0,0,0,0,0,"1,069","1,528","2,597","6,520","6,520"
ABI ,TX,ASW,11/1998,CE,Towers with Radar,1,470,833,609,"1,913",0,0,0,0,0,7,490,"1,139",159,"1,795",0,0,0,0,0,"1,155","1,403","2,558","6,266","6,266"
ABI ,TX,ASW,12/1998,CE,Towers with Radar,2,540,683,418,"1,643",0,0,0,0,0,10,451,"1,094",180,"1,735",0,0,0,0,0,902,"1,150","2,052","5,430","5,430"
ABI ,TX,ASW,01/1999,CE,Towers with Radar,10,248,750,458,"1,466",0,0,0,0,0,32,728,"1,169",236,"2,165",0,0,0,0,0,"1,264","1,330","2,594","6,225","6,225"
ABQ ,NM,ASW,01/1995,WE,Towers with Radar,"5,860","2,592","2,405","1,303","12,160",0,0,0,0,0,957,474,"1,675",669,"3,775",0,0,0,0,0,338,896,"1,234","17,169","17,169"
ABQ ,NM,ASW,02/1995,WE,Towers with Radar,"5,648","2,361","1,706","1,245","10,960",0,0,0,0,0,564,367,"1,830",625,"3,386",0,0,0,0,0,356,810,"1,166","15,512","15,512"
ABQ ,NM,ASW,03/1995,WE,Towers with Radar,"6,202","2,677","2,237","1,267","12,383",0,0,0,0,0,744,388,"1,963",643,"3,738",0,0,0,0,0,354,870,"1,224","17,345","17,345"
ABQ ,NM,ASW,04/1995,WE,Towers with Radar,"6,161","2,334","1,822",882,"11,199",0,0,0,0,0,413,505,"1,884",656,"3,458",0,0,0,0,0,398,670,"1,068","15,725","15,725"
ABQ ,NM,ASW,05/1995,WE,Towers with Radar,"6,291","2,780","1,858",959,"11,888",0,0,0,0,0,635,334,"1,999",555,"3,523",0,0,0,0,0,432,664,"1,096","16,507","16,507"
