airportcode_new,airportname_new,year,month, Investigation Type _ Accident , Investigation Type _ Incident 
RHV,Reid-Hillview Airport of Santa Clara County,1985,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,01,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,04,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,06,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,08,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1986,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1987,05,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1987,07,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1987,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1987,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1988,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1990,05,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1991,05,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1992,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1992,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1994,05,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1994,10,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1995,02,2,0
RHV,Reid-Hillview Airport of Santa Clara County,1996,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1997,07,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1997,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1998,05,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1998,09,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1999,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,1999,09,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2000,07,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2001,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2002,01,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2002,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2003,01,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2003,08,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2003,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2004,07,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2004,10,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2005,08,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2006,02,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2007,01,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2007,05,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2007,09,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2008,07,3,0
RHV,Reid-Hillview Airport of Santa Clara County,2008,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2009,08,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2009,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2011,09,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2013,12,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2014,01,2,0
RHV,Reid-Hillview Airport of Santa Clara County,2015,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2017,07,3,0
RHV,Reid-Hillview Airport of Santa Clara County,2017,11,1,0
RHV,Reid-Hillview Airport of Santa Clara County,2018,04,1,0
RIC,Richmond International Airport,1982,11,1,0
RIC,Richmond International Airport,1983,07,1,0
RIC,Richmond International Airport,1984,01,0,1
RIC,Richmond International Airport,1987,09,1,0
RIC,Richmond International Airport,1988,10,1,0
RIC,Richmond International Airport,1989,11,1,0
RIC,Richmond International Airport,1991,12,1,0
RIC,Richmond International Airport,1992,03,1,0
RIC,Richmond International Airport,1994,09,1,0
RIC,Richmond International Airport,1999,03,1,0
RIC,Richmond International Airport,2001,08,1,0
RIC,Richmond International Airport,2003,03,1,0
RIC,Richmond International Airport,2007,04,1,0
RIC,Richmond International Airport,2008,03,1,0
RIC,Richmond International Airport,2009,03,1,0
RIC,Richmond International Airport,2011,04,1,0
RIC,Richmond International Airport,2011,07,1,0
RIC,Richmond International Airport,2015,03,1,0
RIC,Richmond International Airport,2018,09,1,0
RIE,Rice Lake Regional Airport - Carl's Field,1986,08,1,0
RIE,Rice Lake Regional Airport - Carl's Field,1992,11,1,0
RIE,Rice Lake Regional Airport - Carl's Field,1993,05,1,0
RIL,Garfield County Regional Airport,1985,02,1,0
RIL,Garfield County Regional Airport,1991,06,1,0
RIL,Garfield County Regional Airport,1992,03,1,0
RIL,Garfield County Regional Airport,1996,02,0,1
RIL,Garfield County Regional Airport,1999,09,1,0
RIL,Garfield County Regional Airport,2000,03,1,0
RIL,Garfield County Regional Airport,2004,04,1,0
RIL,Garfield County Regional Airport,2004,07,1,0
RIL,Garfield County Regional Airport,2007,03,1,0
RIL,Garfield County Regional Airport,2009,10,1,0
RIL,Garfield County Regional Airport,2015,04,1,0
RIL,Garfield County Regional Airport,2016,10,1,0
RIN,Ringi Cove Airport,1986,07,1,0
RIV,March ARB Airport,1985,08,1,0
RIV,March ARB Airport,1988,07,1,0
RIV,March ARB Airport,1991,02,1,0
RIV,March ARB Airport,2003,06,1,0
RIV,March ARB Airport,2004,01,1,0
RIV,March ARB Airport,2011,02,1,0
RIW,Riverton Regional Airport,1983,02,1,0
RIW,Riverton Regional Airport,1984,03,1,0
RIW,Riverton Regional Airport,1985,06,1,0
RIW,Riverton Regional Airport,1985,07,1,0
RIW,Riverton Regional Airport,1986,05,1,0
RIW,Riverton Regional Airport,1986,07,1,0
RIW,Riverton Regional Airport,1987,12,1,0
RIW,Riverton Regional Airport,1988,11,1,0
RIW,Riverton Regional Airport,1991,07,1,0
RIW,Riverton Regional Airport,1993,01,0,1
RIW,Riverton Regional Airport,1993,03,1,0
RIW,Riverton Regional Airport,1995,09,1,0
RIW,Riverton Regional Airport,1998,04,1,0
RIW,Riverton Regional Airport,2006,09,1,0
RIW,Riverton Regional Airport,2011,09,1,0
RIW,Riverton Regional Airport,2012,06,1,0
RIW,Riverton Regional Airport,2012,11,0,1
RIW,Riverton Regional Airport,2017,12,1,0
RKD,Knox County Regional Airport,1984,05,1,0
RKD,Knox County Regional Airport,1987,07,1,0
RKD,Knox County Regional Airport,1993,11,1,0
RKD,Knox County Regional Airport,1998,07,1,0
RKD,Knox County Regional Airport,2005,08,0,1
RKD,Knox County Regional Airport,2005,09,1,0
RKD,Knox County Regional Airport,2008,06,1,0
RKD,Knox County Regional Airport,2010,08,1,0
RKD,Knox County Regional Airport,2011,07,1,0
RKD,Knox County Regional Airport,2012,11,1,0
RKD,Knox County Regional Airport,2016,03,1,0
RKP,Aransas County Airport,1982,01,2,0
RKP,Aransas County Airport,1982,06,1,0
RKP,Aransas County Airport,1983,10,1,0
RKP,Aransas County Airport,1987,11,1,0
RKP,Aransas County Airport,1993,08,1,0
RKP,Aransas County Airport,1995,05,1,0
RKP,Aransas County Airport,1998,05,1,0
RKP,Aransas County Airport,2000,10,1,0
RKP,Aransas County Airport,2000,12,1,0
RKP,Aransas County Airport,2007,06,1,0
RKS,Southwest Wyoming Regional Airport,1982,02,1,0
RKS,Southwest Wyoming Regional Airport,1982,09,1,0
RKS,Southwest Wyoming Regional Airport,1983,04,2,0
RKS,Southwest Wyoming Regional Airport,1983,09,1,0
RKS,Southwest Wyoming Regional Airport,1983,12,2,0
RKS,Southwest Wyoming Regional Airport,1984,08,1,0
RKS,Southwest Wyoming Regional Airport,1985,08,1,0
RKS,Southwest Wyoming Regional Airport,1988,06,1,0
RKS,Southwest Wyoming Regional Airport,1991,06,1,0
RKS,Southwest Wyoming Regional Airport,1992,06,1,0
RKS,Southwest Wyoming Regional Airport,1994,05,1,0
RKS,Southwest Wyoming Regional Airport,1994,08,1,0
RKS,Southwest Wyoming Regional Airport,1995,08,1,0
RKS,Southwest Wyoming Regional Airport,1996,04,1,0
RKS,Southwest Wyoming Regional Airport,1997,08,1,0
RKS,Southwest Wyoming Regional Airport,1998,07,1,0
RKS,Southwest Wyoming Regional Airport,2000,01,1,0
RKS,Southwest Wyoming Regional Airport,2001,08,2,0
RKS,Southwest Wyoming Regional Airport,2002,05,1,0
RKS,Southwest Wyoming Regional Airport,2002,09,2,0
RKS,Southwest Wyoming Regional Airport,2003,01,1,0
RKS,Southwest Wyoming Regional Airport,2005,03,1,0
RKS,Southwest Wyoming Regional Airport,2005,11,1,0
RKS,Southwest Wyoming Regional Airport,2007,01,1,0
RKS,Southwest Wyoming Regional Airport,2008,07,1,0
RKS,Southwest Wyoming Regional Airport,2008,08,2,0
RKS,Southwest Wyoming Regional Airport,2011,09,1,0
RKS,Southwest Wyoming Regional Airport,2011,12,1,0
RKS,Southwest Wyoming Regional Airport,2012,06,1,0
RKS,Southwest Wyoming Regional Airport,2013,01,1,0
RKS,Southwest Wyoming Regional Airport,2014,05,1,0
RKS,Southwest Wyoming Regional Airport,2015,09,1,0
RKS,Southwest Wyoming Regional Airport,2017,11,1,0
RKS,Southwest Wyoming Regional Airport,2018,01,1,0
RKW,Rockwood Municipal Airport,1984,05,1,0
RKW,Rockwood Municipal Airport,1986,10,1,0
RLA,Rolla Downtown Airport,1982,05,1,0
RLA,Rolla Downtown Airport,1983,05,1,0
RLA,Rolla Downtown Airport,1983,06,1,0
RLA,Rolla Downtown Airport,1984,05,1,0
RLA,Rolla Downtown Airport,1985,02,1,0
RLA,Rolla Downtown Airport,1985,06,1,0
RLA,Rolla Downtown Airport,1985,07,3,0
RLA,Rolla Downtown Airport,1985,10,1,0
RLA,Rolla Downtown Airport,1985,12,2,0
RLA,Rolla Downtown Airport,1986,04,3,0
RLA,Rolla Downtown Airport,1986,06,1,0
RLA,Rolla Downtown Airport,1986,07,2,0
RLA,Rolla Downtown Airport,1986,08,1,0
RLA,Rolla Downtown Airport,1988,01,1,0
RLA,Rolla Downtown Airport,1991,07,1,0
RLA,Rolla Downtown Airport,1992,06,1,0
RLA,Rolla Downtown Airport,1992,11,1,0
RLA,Rolla Downtown Airport,1994,07,1,0
RLA,Rolla Downtown Airport,1995,09,1,0
RLA,Rolla Downtown Airport,1997,05,1,0
RLA,Rolla Downtown Airport,1997,06,1,0
RLA,Rolla Downtown Airport,1997,10,1,0
RLA,Rolla Downtown Airport,1999,05,1,0
RLO,Valle Del Conlara International Airport,1997,01,1,0
RME,Griffiss International Airport,2000,03,1,0
RMG,Richard B Russell Airport,1983,11,1,0
RMG,Richard B Russell Airport,1984,08,1,0
RMG,Richard B Russell Airport,1986,06,1,0
RMG,Richard B Russell Airport,1986,08,2,0
RMG,Richard B Russell Airport,1990,06,1,0
RMG,Richard B Russell Airport,1991,12,1,0
RMG,Richard B Russell Airport,1996,06,1,0
RMG,Richard B Russell Airport,2003,02,1,0
RMG,Richard B Russell Airport,2006,07,1,0
RMG,Richard B Russell Airport,2008,03,1,0
RMG,Richard B Russell Airport,2008,07,1,0
RMG,Richard B Russell Airport,2015,09,1,0
RMG,Richard B Russell Airport,2016,03,1,0
RMN,Rumginae Airport,2001,05,1,0
RMN,Rumginae Airport,2006,02,1,0
RMN,Rumginae Airport,2007,11,1,0
RMN,Rumginae Airport,2008,01,1,0
RMN,Rumginae Airport,2008,08,1,0
RMN,Rumginae Airport,2013,03,1,0
RMN,Rumginae Airport,2016,06,1,0
RMN,Rumginae Airport,2019,05,1,0
RMN,Rumginae Airport,2019,06,1,0
RMP,Rampart Airport,1983,03,1,0
RMY,Mariposa Yosemite Airport,1998,09,1,0
RMY,Mariposa Yosemite Airport,2001,09,1,0
RMY,Mariposa Yosemite Airport,2011,08,1,0
RMY,Mariposa Yosemite Airport,2020,06,1,0
RNA,Ulawa Airport,1983,03,1,0
RNA,Ulawa Airport,1984,07,1,0
RNA,Ulawa Airport,1984,10,0,1
RNA,Ulawa Airport,1985,12,1,0
RNA,Ulawa Airport,1986,04,1,0
RNA,Ulawa Airport,1992,05,1,0
RNA,Ulawa Airport,1992,12,1,0
RNA,Ulawa Airport,1995,09,1,0
RNA,Ulawa Airport,2001,01,1,0
RNA,Ulawa Airport,2001,02,1,1
RNA,Ulawa Airport,2001,04,2,0
RNA,Ulawa Airport,2001,05,1,0
RNA,Ulawa Airport,2001,10,1,0
RNA,Ulawa Airport,2002,04,1,0
RNA,Ulawa Airport,2002,08,1,0
RNA,Ulawa Airport,2002,10,1,0
RNA,Ulawa Airport,2003,01,1,0
RNA,Ulawa Airport,2003,03,1,0
RNA,Ulawa Airport,2003,10,1,0
RNA,Ulawa Airport,2004,06,1,0
RNA,Ulawa Airport,2005,04,1,0
RNA,Ulawa Airport,2005,07,1,0
RNA,Ulawa Airport,2005,09,1,0
RNA,Ulawa Airport,2006,05,2,0
RNA,Ulawa Airport,2006,06,1,0
RNA,Ulawa Airport,2006,07,4,0
RNA,Ulawa Airport,2006,09,1,0
RNA,Ulawa Airport,2007,04,1,0
