airportname,Freq
 AUSTIN EXEC AIRPARK ,1
 AUSTIN EXECUTIVE ,3
 AUSTIN EXECUTIVE AIRPARK ,2
 AUSTIN LAKE ,2
 AUSTIN LAKES ,1
 AUSTIN MUNI ,3
 AUSTIN MUNI. ,1
 AUSTIN MUNICIPAL AIRPORT ,1
 AUSTIN STRABEL ,1
 AUSTIN STRAUBEL ,4
 AUSTIN STRAUBEL FIELD ,1
 AUSTIN STRAUBEL IAP ,1
 AUSTIN STRAUBEL INTERNATIONAL ,2
 AUSTIN STRAUBEL INTL ,1
 AUSTIN-BERGSTROM INTL ,1
 AUSTIN-LAKEWAY ,1
 AUSTON STRAOBEL ,1
 AUTAUGA CONTY ,1
 AUTAUGA COUNTY ,2
 AUXILIARY ,1
 AVA-BILL MARTIN MEMORIAL ,1
 AVALON ,3
 AVENAL ,2
 AVENGER FIELD ,2
 AVERY CO/MORRISON FIELD ,1
 AVERY COUNTY-MORRISON ,1
 AVERY MORRIS AIRPORT ,1
 AVERY/MORRISON ,1
 AVERYS CREEK ,1
 AVI SUPQUILLA ,1
 AVI SUQILLA ,1
 AVI SUQUILLA ,4
 AVIAN COUNTY ESTATES ,1
 AVON BOTSWORTH ,1
 AVON PARK ,4
 AVON PARK MUNICIPAL ,3
 AVRA VALLEY ,9
 AVRA VALLEY AIRPORT ,1
 AZTEC MUNI ,3
 AZTEC MUNICIPAL ,3
 Abbeville ,1
 Abbeville Chris Crusta ,1
 Abbeville Municipal Airport ,1
 Abbeyshrule ,1
 Abbott Ranch Private Airstrip ,1
 Abbyshrule Aerodrome ,1
 Aberdeen Regional Airport ,3
 Abergavenny Airfield ,1
 Abernathy Airport ,1
 Abernathy Fielld ,1
 Abernathy Municipal Airport ,1
 Abilene Municipal ,2
 Abilene Regional ,1
 Abilene Regional Airport ,3
 Abraham Lincoln Capital ,2
 Abraham Lincoln Capital Airpor ,1
 Abraham Lincoln Capital Arpt ,1
 Abraham Lincoln Capital Arpt. ,1
 Abrams Municipal ,1
 Acadiana Regional ,1
 Acadiana Regional Airport ,1
 Acandi ,1
 Accomack County Airport ,1
 Ada Municipal Airport ,1
 Adams County Airport ,1
 Adams Field ,2
 Adams Field Airport ,1
 Addington Field ,2
 Addington Field Airport ,3
 Addis Ababa Bole intl. Airport ,1
 Addison ,1
 Addison Airport ,3
 Adelano Airport ,1
 Adelanto ,3
 Adelanto Airport ,1
 Adirondack Regional Airport ,2
 Adrmore Downtown Executive ,1
 Aero Acres Airport ,2
 Aero Country ,3
 Aero Country Airport ,6
 Aero Estates ,1
 Aero Plantation ,1
 Aero Valley Airport ,1
 Aeroacres ,2
 Aeroacres Airport ,1
 Aerobatic Practice Airport ,1
 Aerobear Field ,1
 Aerodromo De Canaima ,1
 Aerodromo Nacional de Aviacao ,1
 Aerodromo de Golfito ,1
 Aeroflex-Andover ,2
 Aeroflex-Andover Airport ,5
 Aeroparque Jorge Newbery ,1
 Aeroporto Flores ,1
 Aeroporto de CassilÃ¢ndia ,1
 Aeroporto de Paragominas ,1
 Aeroporto di Albegna ,1
 Aeropuerto El Guaymaral ,1
 Aeropuerto Pedro J. Mendez ,1
 Aeropuerto de Tirua ,1
 AerÃ³dromo de Sotos ,1
 Afton ,1
 Afton Muni ,1
 Afton Municipal ,2
 Afton Municipal Airport ,1
 AftonMunicipal ,1
 Ag Air - Private ,1
 Ag Airstrip ,1
 Agricultural airstrip ,1
 Agua Caliente Airport ,1
 Agua Caliente Springs ,1
 Agua Dulce ,1
 Agua Dulce Airpark ,1
 Ahland-Boyd County Airport ,1
 Aiken Municipal Airport ,2
 Ainsworth ,1
 Ainsworth Municipal Airport ,1
 Ainsworth Regional ,1
 Air Acres ,2
 Air Cowboy Airport ,1
 Air Evac Helipad ,1
 Air Harbor ,3
 Air Harbor Airport ,1
 Air Harbour ,1
 Air Jordan Airport ,1
 Air Lake Airport ,1
 Air Logistics Galliano ,1
 Air Logistics Heliport ,1
 Air Logistics Sabine Heliport ,1
 Air Methods Helipad (LAMMO) ,1
 Air Sailing Glider Port ,1
 Air Sailing Gliderport ,5
 Airfield Kopaidas ,1
 Airglades ,1
 Airglades Airport ,1
 Airlake ,1
 Airlake Airport ,7
 Airman Acres Airport ,1
 Airmen Acres Airport ,1
 Airpark East ,2
 Airpark East Airport ,3
 Airpark Estates ,1
 Airport Manatee ,1
 Airport in the Sky ,1
 Airway ,1
 Aix-les-milles ,1
 Ak-Chin Regional Airport ,1
 Akaichak Airport ,1
 Aknux ,1
 Akron Fullton Internatinonal ,1
 Akron-Canton ,1
 Akron-Canton Regional ,1
 Akron-Canton Regional Airport ,3
 Akron/Canton International ,1
 Akron/Washington County ,1
 Akureyri Airport ,1
 Aky Manor Airport ,1
 Al Ain Airport ,1
 Al Ain International Airport ,1
 Al Khor Airport ,1
 Alamagordo Regional ,1
 Alamogordo-White Sands Regiona ,3
 Alamosa ,1
 Alaska Adventures Airstrip ,1
 Albano Machado Airport ,1
 Albany International ,1
 Albany International Airport ,2
 Albany Municipal ,1
 Albany Municipal Airport ,2
 Alber Whitted ,1
 Albert J Ellis Airport ,1
 Albert Lea Medical Center ,1
 Albert Whitted ,4
 Albert Whitted Airport ,6
 Albert Whitted Field ,1
 Albert Whitted Municiple ,1
 Albert Whitten Airport ,1
 Albertus Airport ,3
 Albertville Regional Airport ,1
 Albia Municipal ,1
 Albquerque INTL. ,1
 Albuquerque ,2
 Albuquerque Int'l Sunport ,1
 Albuquerque International ,7
 Albuquerque International Apt. ,1
 Albuquerque International Arpt ,1
 Albuquerque International Sun ,1
 Albuquerque International Sunp ,2
 Albuquerque Intl Airport ,1
 Albuquerque Intl Sunport ,3
 Albuquerque Intl Sunport Airpo ,1
 Albuquerque Intl Sunport Arpt ,1
 Albuquerque Intl. Sunport ,5
 Alejandro Velasco Astete Airpo ,1
 Alejandro Velasco Astete IAP ,1
 Alem Paraiba ,1
 Alexander Municipal ,2
 Alexander Municipal Airport ,2
 Alexander Salamon ,1
 Alexander Salamon Airport ,1
 Alexandria ,1
 Alexandria Airport ,3
 Alexandria International ,1
 Alexandria International Airpo ,1
