,eventairport_conv,count,eventcity,event_fullstate,eventstate,count_by_loc,,
445,alexandria,11,pittston,Pennsylvania,PA,1,,
446,alexandria,11,pittstown,New Jersey,NJ,7,,
447,alexandria,11,alexandria,Indiana,IN,3,,
448,hutson field,11,manvel,North Dakota,ND,1,,
449,hutson field,11,grafton,North Dakota,ND,10,,
450,burnet municipal kate craddock field,11,burnet,Texas,TX,10,,
451,burnet municipal kate craddock field,11,liberty hill,Texas,TX,1,,
452,osage city municipal,11,osage city,Kansas,KS,10,,
453,osage city municipal,11,osage,Kansas,KS,1,,
454,raleigh exec jetport at sanford lee county,11,sanford,North Carolina,NC,11,,
455,yolo county,11,davis,California,CA,8,,
456,yolo county,11,woodland,California,CA,3,,
457,dyersburg regional,11,dyersburg,Tennessee,TN,10,,
458,dyersburg regional,11,hornbeak,Tennessee,TN,1,,
459,southbridge municipal,10,southbridge,Massachusetts,MA,10,,
460,yolo county davis,10,winters,California,CA,9,,
461,yolo county davis,10,davis,California,CA,1,,
462,carlisle municipal,10,carlisle,Arkansas,AR,10,,
463,mustang beach,10,port aransas,Texas,TX,10,,
464,piqua airport hartzell field,10,circleville,Ohio,OH,1,,
465,piqua airport hartzell field,10,piqua,Ohio,OH,9,,
466,weiss,10,fenton,Missouri,MO,6,,
467,weiss,10,saint louis,Missouri,MO,4,,
468,rusk county,10,henderson,Texas,TX,7,,
469,rusk county,10,henderson,Louisiana,LA,1,,
470,rusk county,10,ladysmith,Wisconsin,WI,2,,
471,farmville regional,10,farmville,Virginia,VA,10,,
472,sandpoint,10,sandpoint,Idaho,ID,10,,
473,lincolnton lincoln county regional,10,lincolnton,North Carolina,NC,10,,
474,lincolnton lincoln county regional,10,,North Carolina,NC,0,,
475,air park dallas,10,dallas,Texas,TX,10,,
476,oswego county,10,fulton,New York,NY,10,,
477,philadelphia municipal,10,philadelphia,Pennsylvania,PA,6,,
478,philadelphia municipal,10,philadelphia,Mississippi,MS,4,,
479,sherman municipal,10,sherman,Texas,TX,10,,
480,cleveland municipal,10,cleveland,Texas,TX,6,,
