
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations",
Sub-Total for AWP,,,,,,"32,642","10,355","12,665",230,"55,892",0,0,"3,291",0,"3,291","1,058",422,794,102,"2,376",0,0,0,0,0,"5,684",0,"5,684","63,952","67,243",
Sub-Total for CA,,,,,,"32,642","10,355","12,665",230,"55,892",0,0,"3,291",0,"3,291","1,058",422,794,102,"2,376",0,0,0,0,0,"5,684",0,"5,684","63,952","67,243",
10/1989,SJU ,PR,ASO,ES,Combined TRACON & Tower with Radar,"4,441","7,328","2,266",376,"14,411",2,442,"1,583",285,"2,312",152,256,184,89,681,0,0,0,0,0,706,90,796,"15,888","18,200",
10/1989,SLC ,UT,ANM,WE,Combined TRACON & Tower with Radar,"11,865","4,450","6,516",333,"23,164",0,0,0,0,0,630,286,620,75,"1,611",0,0,0,0,0,428,76,504,"25,279","25,279",
10/1989,STL ,MO,ACE,CE,Combined TRACON & Tower with Radar,"23,766","8,683","3,363",846,"36,658",0,0,0,0,0,704,365,367,89,"1,525",0,0,0,0,0,0,0,0,"38,183","38,183",
Sub-Total for Unknown,,,,,,"87,900","43,180","25,572","1,795","158,447",2,513,"5,725",286,"6,526","2,960","1,622","2,112",369,"7,063",0,0,0,0,0,"6,838",166,"7,004","172,514","179,040",
10/1989,TEB ,NJ,AEA,EN,Towers with Display (VFR),0,"1,328","7,427",8,"8,763",0,0,0,0,0,0,852,"7,178",16,"8,046",0,0,0,0,0,"2,823",0,"2,823","19,632","19,632",
10/1989,TPA ,FL,ASO,ES,Towers with Radar,"9,259","3,324","3,367",101,"16,051",0,0,0,0,0,551,397,206,40,"1,194",0,0,0,0,0,0,0,0,"17,245","17,245",
Sub-Total for 10/1989,,,,,,"800,023","325,325","234,886","22,175","1,382,409",2,"6,721","30,565","1,677","38,965","32,807","17,605","35,259","3,589","89,260",0,0,0,0,0,"32,422","5,151","37,573","1,509,242","1,548,207",
11/1989,ABQ ,NM,ASW,WE,Towers with Radar,"4,416","2,925","5,279","2,279","14,899",0,0,0,0,0,"1,267",249,842,484,"2,842",0,0,0,0,0,188,469,657,"18,398","18,398",
Sub-Total for Unknown,,,,,,"13,675","6,249","8,646","2,380","30,950",0,0,0,0,0,"1,818",646,"1,048",524,"4,036",0,0,0,0,0,188,469,657,"35,643","35,643",
11/1989,ADW ,MD,AEA,EN,Combined TRACON & Tower with Radar,2,0,889,"7,221","8,112",0,0,737,159,896,5,0,345,91,441,0,0,0,0,0,587,"2,579","3,166","11,719","12,615",
11/1989,ANC ,AK,AAL,WE,Towers with Radar,"7,625","4,057","2,112",98,"13,892",0,0,0,0,0,376,238,152,34,800,0,0,0,0,0,"1,147",18,"1,165","15,857","15,857",
