,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
From 01/1994 To 01/1995,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,,Local,,, , 
Date,Facility,Region,State,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,Civil,Military,Total,"Airport
Operations","Tower
Operations"
01/1994,CRE ,ASO,SC,ES,Federal Contract Tower,0,92,"1,060",25,"1,177",0,0,0,0,0,0,156,"1,257",60,"1,473",0,0,0,0,0,735,77,812,"3,462","3,462"
01/1994,CRG ,ASO,FL,ES,Towers with Display (VFR),0,429,"1,873",78,"2,380",0,0,0,0,0,0,246,"3,559",440,"4,245",0,0,0,0,0,"4,703",120,"4,823","11,448","11,448"
01/1994,CRP ,ASW,TX,CE,Towers with Radar,"1,195",982,"2,289",853,"5,319",0,0,0,0,0,195,140,286,280,901,0,0,0,0,0,"1,269","2,648","3,917","10,137","10,137"
01/1994,CRQ ,AWP,CA,WE,Towers with Display (VFR),0,393,"2,552",44,"2,989",0,0,0,0,0,0,442,"9,436",129,"10,007",0,0,0,0,0,"5,478",4,"5,482","18,478","18,478"
01/1994,CRW ,AEA,WV,CE,Towers with Radar,494,"1,560","1,377",121,"3,552",0,0,0,0,0,72,126,158,69,425,0,0,0,0,0,302,156,458,"4,435","4,435"
01/1994,CSG ,ASO,GA,ES,Towers with Radar,148,753,"2,190",48,"3,139",0,0,0,0,0,20,89,225,47,381,0,0,0,0,0,"1,869",166,"2,035","5,555","5,555"
01/1994,CSM ,ASW,OK,CE,Federal Contract Tower,0,0,22,326,348,0,0,0,0,0,0,0,202,116,318,0,0,0,0,0,97,"1,550","1,647","2,313","2,313"
01/1994,CVG ,ASO,KY,CE,Towers with Radar,"11,988","11,801",824,51,"24,664",0,0,0,0,0,563,330,121,26,"1,040",0,0,0,0,0,0,0,0,"25,704","25,704"
01/1994,CWA ,AGL,WI,CE,Federal Contract Tower,391,726,272,0,"1,389",0,0,0,0,0,53,49,342,4,448,0,0,0,0,0,418,0,418,"2,255","2,255"
01/1994,CXY ,AEA,PA,EN,Towers with Display (VFR),0,52,473,12,537,0,0,0,0,0,0,44,499,68,611,0,0,0,0,0,296,610,906,"2,054","2,054"
01/1994,CYS ,ANM,WY,WE,Tower without Radar,6,739,385,164,"1,294",0,0,0,0,0,11,429,776,101,"1,317",0,0,0,0,0,663,943,"1,606","4,217","4,217"
01/1994,DAB ,ASO,FL,ES,Towers with Radar,766,471,"12,638",24,"13,899",0,0,0,0,0,145,111,885,30,"1,171",0,0,0,0,0,"5,041",4,"5,045","20,115","20,115"
01/1994,DAL ,ASW,TX,CE,Combined TRACON & Tower with Radar,"7,208","1,887","7,095",55,"16,245",0,98,"5,598",57,"5,753",587,478,360,32,"1,457",0,0,0,0,0,0,0,0,"17,702","23,455"
01/1994,DAY ,AGL,OH,CE,Towers with Radar,"4,901","2,280","2,311",87,"9,579",0,0,0,0,0,61,39,170,33,303,0,0,0,0,0,82,0,82,"9,964","9,964"
01/1994,DBQ ,ACE,IA,CE,Towers with Display (VFR),7,493,443,1,944,0,0,0,0,0,17,55,379,21,472,0,0,0,0,0,294,6,300,"1,716","1,716"
01/1994,DCA ,AEA,DC,EN,Towers with Radar,"14,941","4,657","3,159",92,"22,849",0,0,0,0,0,177,108,132,45,462,0,0,0,0,0,0,0,0,"23,311","23,311"
01/1994,DEC ,AGL,IL,CE,Towers with Display (VFR),1,559,508,49,"1,117",0,0,0,0,0,10,56,426,127,619,0,0,0,0,0,940,180,"1,120","2,856","2,856"
