
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
10/1989,CLT ,NC,ASO,ES,Towers with Radar,"20,829","10,252","8,953",363,"40,397",266,201,"5,433",204,"6,104",0,0,0,0,0,0,0,0,0,0,"46,501",
10/1989,CMH ,OH,AGL,CE,Towers with Radar,"4,882","5,030","11,186","1,567","22,665",242,721,"6,040",269,"7,272",0,0,0,0,0,0,0,0,0,0,"29,937",
10/1989,CMI ,IL,AGL,CE,Towers with Radar,282,"2,699","6,724",183,"9,888",3,269,"2,519",38,"2,829",0,0,0,0,0,0,0,0,0,0,"12,717",
Sub-Total for CE,,,,,,"5,164","7,729","17,910","1,750","32,553",245,990,"8,559",307,"10,101",0,0,0,0,0,0,0,0,0,0,"42,654",
Sub-Total for AGL,,,,,,"5,164","7,729","17,910","1,750","32,553",245,990,"8,559",307,"10,101",0,0,0,0,0,0,0,0,0,0,"42,654",
10/1989,COS ,CO,ANM,WE,Towers with Radar,"1,839",698,"3,265","1,951","7,753",62,429,"1,746",501,"2,738",0,0,0,0,0,0,0,0,0,0,"10,491",
Sub-Total for Unknown,,,,,,"47,573","32,341","67,606","8,855","156,375","1,174","4,105","37,692","2,545","45,516",0,0,0,0,0,0,0,0,0,0,"201,891",
10/1989,COU ,MO,ACE,CE,Tower without Radar,17,660,"1,367",103,"2,147",0,0,219,5,224,0,0,0,0,0,0,0,0,0,0,"2,371",
10/1989,CPR ,WY,ANM,WE,Towers with Radar,192,742,641,25,"1,600",1,8,33,220,262,0,0,0,0,0,0,0,0,0,0,"1,862",
10/1989,CRP ,TX,ASW,CE,Towers with Radar,"1,131","1,409","3,374","6,074","11,988",5,111,"1,266",482,"1,864",0,0,0,0,0,0,0,0,0,0,"13,852",
10/1989,CRW ,WV,AEA,CE,Towers with Radar,"1,114","1,453","4,389",459,"7,415",90,290,"2,450",69,"2,899",0,0,0,0,0,0,0,0,0,0,"10,314",
Sub-Total for CE,,,,,,"2,245","2,862","7,763","6,533","19,403",95,401,"3,716",551,"4,763",0,0,0,0,0,0,0,0,0,0,"24,166",
10/1989,CSG ,GA,ASO,ES,Towers with Radar,180,944,"4,283",778,"6,185",11,"1,615","2,819",609,"5,054",0,0,0,0,0,0,0,0,0,0,"11,239",
Sub-Total for Unknown,,,,,,"2,617","4,548","12,687","7,336","27,188",107,"2,024","6,568","1,380","10,079",0,0,0,0,0,0,0,0,0,0,"37,267",
10/1989,CSM ,OK,ASW,CE,Tower without Radar,0,0,160,765,925,0,0,20,2,22,0,0,0,0,0,0,0,0,0,0,947,
10/1989,CVG ,KY,ASO,CE,Towers with Radar,"10,217","10,745","7,725",155,"28,842",749,689,"3,938",169,"5,545",0,0,0,0,0,0,0,0,0,0,"34,387",
Sub-Total for CE,,,,,,"10,217","10,745","7,885",920,"29,767",749,689,"3,958",171,"5,567",0,0,0,0,0,0,0,0,0,0,"35,334",
10/1989,CXY ,PA,AEA,EN,Towers with Radar,"1,533","4,380","7,090",678,"13,681",16,"1,295","4,502",226,"6,039",0,0,0,0,0,0,0,0,0,0,"19,720",
Sub-Total for Unknown,,,,,,"11,750","15,125","14,815",833,"42,523",765,"1,984","8,440",395,"11,584",0,0,0,0,0,0,0,0,0,0,"54,107",
10/1989,CYS ,WY,ANM,WE,Tower without Radar,66,538,641,348,"1,593",4,58,68,6,136,0,0,0,0,0,0,0,0,0,0,"1,729",
10/1989,D10 ,TX,ASW,CE,"TRACON, RAPCON, or CERAP","48,573","19,094","20,798","3,430","91,895",4,15,371,23,413,0,0,0,0,0,0,0,0,0,0,"92,308",
10/1989,D21 ,MI,AGL,CE,"TRACON, RAPCON, or CERAP","26,244","7,533","16,717",90,"50,584",158,439,"1,585",250,"2,432",0,0,0,0,0,0,0,0,0,0,"53,016",
Sub-Total for CE,,,,,,"74,817","26,627","37,515","3,520","142,479",162,454,"1,956",273,"2,845",0,0,0,0,0,0,0,0,0,0,"145,324",
10/1989,D84 ,CO,ANM,WE,"TRACON, RAPCON, or CERAP","25,496","9,394","7,513","1,092","43,495",3,44,"2,524",158,"2,729",0,0,0,0,0,0,0,0,0,0,"46,224",
Sub-Total for Unknown,,,,,,"100,313","36,021","45,028","4,612","185,974",165,498,"4,480",431,"5,574",0,0,0,0,0,0,0,0,0,0,"191,548",
10/1989,DAB ,FL,ASO,ES,Towers with Radar,"1,401",263,"19,597",34,"21,295",37,646,"4,982",360,"6,025",0,0,0,0,0,0,0,0,0,0,"27,320",
10/1989,DAY ,OH,AGL,CE,Towers with Radar,"11,042","5,971","6,246","2,034","25,293",131,"1,576","6,445",158,"8,310",0,0,0,0,0,0,0,0,0,0,"33,603",
10/1989,DCA ,DC,AEA,EN,Towers with Radar,"16,997","4,996","7,494","5,352","34,839","11,136","1,205","5,528","1,803","19,672",0,0,0,0,0,0,0,0,0,0,"54,511",
10/1989,DLH ,MN,AGL,CE,Towers with Radar,343,781,"1,082",602,"2,808",0,118,199,19,336,0,0,0,0,0,0,0,0,0,0,"3,144",
10/1989,DSM ,IA,ACE,CE,Towers with Radar,"2,677","1,622","7,777",573,"12,649",1,106,"1,797",32,"1,936",0,0,0,0,0,0,0,0,0,0,"14,585",
Sub-Total for Unknown,,,,,,"32,460","13,633","42,196","8,595","96,884","11,305","3,651","18,951","2,372","36,279",0,0,0,0,0,0,0,0,0,0,"133,163",
Sub-Total for CE,,,,,,"3,020","2,403","8,859","1,175","15,457",1,224,"1,996",51,"2,272",0,0,0,0,0,0,0,0,0,0,"17,729",
