
From 01/1989 To 01/1990,,,,,,,,,,,,,,,,,,,,,,,,,,,
 ,,,,,,IFR Itinerant,,,,,IFR Overflight,,,,,VFR Itinerant,,,,,VFR Overflight,,,,, ,
Date,Facility,State,Region,"DDSO
Service
Area",Class,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Air
Carrier","Air
Taxi","General
Aviation",Military,Total,"Total
Operations",
12/1989,BTR ,LA,ASW,CE,Towers with Radar,"1,492",671,"3,592",104,"5,859",110,824,"1,646",174,"2,754",0,0,0,0,0,0,0,0,0,0,"8,613",
Sub-Total for CE,,,,,,"1,492","2,240","5,704",187,"9,623",111,966,"2,617",248,"3,942",0,0,0,0,0,0,0,0,0,0,"13,565",
Sub-Total for ASW,,,,,,"1,492","2,240","5,704",187,"9,623",111,966,"2,617",248,"3,942",0,0,0,0,0,0,0,0,0,0,"13,565",
12/1989,BTV ,VT,ANE,EN,Towers with Radar,"1,254","2,982","2,839","2,104","9,179",4,357,380,75,816,0,0,0,0,0,0,0,0,0,0,"9,995",
12/1989,BUF ,NY,AEA,CE,Towers with Radar,"5,335","1,999","2,549",745,"10,628",762,476,"1,110",127,"2,475",0,0,0,0,0,0,0,0,0,0,"13,103",
12/1989,BWI ,MD,AEA,EN,Towers with Radar,"13,072","6,780","6,161",661,"26,674","3,115","3,756","3,388",919,"11,178",0,0,0,0,0,0,0,0,0,0,"37,852",
Sub-Total for Unknown,,,,,,"21,153","12,432","15,141","3,614","52,340","3,991","5,413","6,524","1,295","17,223",0,0,0,0,0,0,0,0,0,0,"69,563",
Sub-Total for AEA,,,,,,"18,407","8,779","8,710","1,406","37,302","3,877","4,232","4,498","1,046","13,653",0,0,0,0,0,0,0,0,0,0,"50,955",
12/1989,C90 ,IL,AGL,CE,"TRACON, RAPCON, or CERAP","63,692","20,330","11,959",882,"96,863",156,73,241,8,478,0,0,0,0,0,0,0,0,0,0,"97,341",
12/1989,CAE ,SC,ASO,ES,Towers with Radar,"1,931","1,556","3,536",307,"7,330",25,332,"2,430",365,"3,152",0,0,0,0,0,0,0,0,0,0,"10,482",
12/1989,CAK ,OH,AGL,CE,Towers with Radar,729,"1,197","5,033",495,"7,454",9,543,"1,789",53,"2,394",0,0,0,0,0,0,0,0,0,0,"9,848",
12/1989,CHA ,TN,ASO,ES,Towers with Radar,870,"1,359","3,929",120,"6,278",1,44,"1,560",93,"1,698",0,0,0,0,0,0,0,0,0,0,"7,976",
12/1989,CHS ,SC,ASO,ES,Towers with Radar,"2,282",151,"2,821","2,628","7,882",0,69,"2,047",370,"2,486",0,0,0,0,0,0,0,0,0,0,"10,368",
Sub-Total for ES,,,,,,"3,152","1,510","6,750","2,748","14,160",1,113,"3,607",463,"4,184",0,0,0,0,0,0,0,0,0,0,"18,344",
Sub-Total for ASO,,,,,,"3,152","1,510","6,750","2,748","14,160",1,113,"3,607",463,"4,184",0,0,0,0,0,0,0,0,0,0,"18,344",
12/1989,CID ,IA,ACE,CE,Towers with Radar,"1,465","1,242","2,620",25,"5,352",4,291,"1,575",28,"1,898",0,0,0,0,0,0,0,0,0,0,"7,250",
12/1989,CKB ,WV,AEA,CE,Towers with Radar,2,866,"1,057",39,"1,964",53,679,"1,116",53,"1,901",0,0,0,0,0,0,0,0,0,0,"3,865",
12/1989,CLE ,OH,AGL,CE,Towers with Radar,"12,357","6,664","5,725",259,"25,005",220,345,"1,973",58,"2,596",0,0,0,0,0,0,0,0,0,0,"27,601",
Sub-Total for CE,,,,,,"13,824","8,772","9,402",323,"32,321",277,"1,315","4,664",139,"6,395",0,0,0,0,0,0,0,0,0,0,"38,716",
12/1989,CLT ,NC,ASO,ES,Towers with Radar,"19,912","9,772","6,247",274,"36,205",225,204,"3,555",111,"4,095",0,0,0,0,0,0,0,0,0,0,"40,300",
12/1989,CMH ,OH,AGL,CE,Towers with Radar,"4,781","4,620","7,013","1,317","17,731",247,752,"3,139",197,"4,335",0,0,0,0,0,0,0,0,0,0,"22,066",
12/1989,CMI ,IL,AGL,CE,Towers with Radar,218,"2,892","4,111",192,"7,413",2,260,"1,607",30,"1,899",0,0,0,0,0,0,0,0,0,0,"9,312",
Sub-Total for CE,,,,,,"4,999","7,512","11,124","1,509","25,144",249,"1,012","4,746",227,"6,234",0,0,0,0,0,0,0,0,0,0,"31,378",
Sub-Total for AGL,,,,,,"4,999","7,512","11,124","1,509","25,144",249,"1,012","4,746",227,"6,234",0,0,0,0,0,0,0,0,0,0,"31,378",
12/1989,COS ,CO,ANM,WE,Towers with Radar,"1,819",741,"2,454","1,203","6,217",32,470,"1,181",284,"1,967",0,0,0,0,0,0,0,0,0,0,"8,184",
Sub-Total for Unknown,,,,,,"46,366","31,060","44,546","6,859","128,831",818,"3,989","21,972","1,642","28,421",0,0,0,0,0,0,0,0,0,0,"157,252",
12/1989,COU ,MO,ACE,CE,Tower without Radar,0,595,"1,028",68,"1,691",0,0,140,7,147,0,0,0,0,0,0,0,0,0,0,"1,838",
12/1989,CPR ,WY,ANM,WE,Towers with Radar,202,679,601,32,"1,514",0,2,38,133,173,0,0,0,0,0,0,0,0,0,0,"1,687",
12/1989,CRP ,TX,ASW,CE,Towers with Radar,"2,498","1,842","4,385","4,389","13,114",2,98,877,371,"1,348",0,0,0,0,0,0,0,0,0,0,"14,462",
12/1989,CRW ,WV,AEA,CE,Towers with Radar,"1,077","1,414","2,451",229,"5,171",74,288,"1,182",45,"1,589",0,0,0,0,0,0,0,0,0,0,"6,760",
Sub-Total for CE,,,,,,"3,575","3,256","6,836","4,618","18,285",76,386,"2,059",416,"2,937",0,0,0,0,0,0,0,0,0,0,"21,222",
12/1989,CSG ,GA,ASO,ES,Towers with Radar,187,"1,068","3,249",907,"5,411",7,"1,096","2,080",467,"3,650",0,0,0,0,0,0,0,0,0,0,"9,061",
Sub-Total for Unknown,,,,,,"3,964","5,003","10,686","5,557","25,210",83,"1,484","4,177","1,016","6,760",0,0,0,0,0,0,0,0,0,0,"31,970",
12/1989,CSM ,OK,ASW,CE,Tower without Radar,0,4,343,418,765,0,0,24,3,27,0,0,0,0,0,0,0,0,0,0,792,
12/1989,CVG ,KY,ASO,CE,Towers with Radar,"10,505","9,858","4,980",121,"25,464",616,661,"2,381",140,"3,798",0,0,0,0,0,0,0,0,0,0,"29,262",
Sub-Total for CE,,,,,,"10,505","9,862","5,323",539,"26,229",616,661,"2,405",143,"3,825",0,0,0,0,0,0,0,0,0,0,"30,054",
12/1989,CXY ,PA,AEA,EN,Towers with Radar,"1,375","4,423","4,673",550,"11,021",21,"1,301","2,399",153,"3,874",0,0,0,0,0,0,0,0,0,0,"14,895",
Sub-Total for Unknown,,,,,,"11,880","14,281","9,653",671,"36,485",637,"1,962","4,780",293,"7,672",0,0,0,0,0,0,0,0,0,0,"44,157",
12/1989,CYS ,WY,ANM,WE,Tower without Radar,52,618,533,275,"1,478",0,76,61,1,138,0,0,0,0,0,0,0,0,0,0,"1,616",
12/1989,D10 ,TX,ASW,CE,"TRACON, RAPCON, or CERAP","50,165","16,657","16,447","2,595","85,864",6,20,274,35,335,0,0,0,0,0,0,0,0,0,0,"86,199",
12/1989,D21 ,MI,AGL,CE,"TRACON, RAPCON, or CERAP","24,969","6,687","11,463",51,"43,170",66,264,682,225,"1,237",0,0,0,0,0,0,0,0,0,0,"44,407",
Sub-Total for CE,,,,,,"75,134","23,344","27,910","2,646","129,034",72,284,956,260,"1,572",0,0,0,0,0,0,0,0,0,0,"130,606",
12/1989,D84 ,CO,ANM,WE,"TRACON, RAPCON, or CERAP","25,294","10,780","6,293",957,"43,324",9,38,"1,797",98,"1,942",0,0,0,0,0,0,0,0,0,0,"45,266",
Sub-Total for Unknown,,,,,,"100,428","34,124","34,203","3,603","172,358",81,322,"2,753",358,"3,514",0,0,0,0,0,0,0,0,0,0,"175,872",
12/1989,DAB ,FL,ASO,ES,Towers with Radar,"1,147",359,"13,145",46,"14,697",21,552,"4,768",311,"5,652",0,0,0,0,0,0,0,0,0,0,"20,349",
12/1989,DAY ,OH,AGL,CE,Towers with Radar,"10,459","5,367","4,221","1,603","21,650",66,"1,465","3,901",122,"5,554",0,0,0,0,0,0,0,0,0,0,"27,204",
12/1989,DCA ,DC,AEA,EN,Towers with Radar,"16,196","4,577","4,299","3,630","28,702","10,660",859,"3,652","1,277","16,448",0,0,0,0,0,0,0,0,0,0,"45,150",
12/1989,DLH ,MN,AGL,CE,Towers with Radar,309,736,922,526,"2,493",0,96,91,16,203,0,0,0,0,0,0,0,0,0,0,"2,696",
12/1989,DSM ,IA,ACE,CE,Towers with Radar,"2,463","1,607","5,002",393,"9,465",2,74,"1,144",32,"1,252",0,0,0,0,0,0,0,0,0,0,"10,717",
Sub-Total for Unknown,,,,,,"30,574","12,646","27,589","6,198","77,007","10,749","3,046","13,556","1,758","29,109",0,0,0,0,0,0,0,0,0,0,"106,116",
Sub-Total for CE,,,,,,"2,772","2,343","5,924",919,"11,958",2,170,"1,235",48,"1,455",0,0,0,0,0,0,0,0,0,0,"13,413",
12/1989,EDW ,CA,AWP,WE,"TRACON, RAPCON, or CERAP",90,304,885,"4,119","5,398","1,417",223,"1,018","15,586","18,244",0,0,0,0,0,0,0,0,0,0,"23,642",
12/1989,ELM ,NY,AEA,EN,Towers with Radar,460,"2,163","1,440",8,"4,071",46,88,836,17,987,0,0,0,0,0,0,0,0,0,0,"5,058",
12/1989,ELP ,TX,ASW,WE,Towers with Radar,"4,594",326,"7,888","1,227","14,035",21,50,810,195,"1,076",0,0,0,0,0,0,0,0,0,0,"15,111",
12/1989,ERI ,PA,AEA,CE,Towers with Radar,429,"1,631","1,716",56,"3,832",108,901,"1,578",31,"2,618",0,0,0,0,0,0,0,0,0,0,"6,450",
12/1989,EUG ,OR,ANM,WE,Towers with Radar,624,"1,404","1,689",93,"3,810",4,226,417,34,681,0,0,0,0,0,0,0,0,0,0,"4,491",
12/1989,EVV ,IN,AGL,CE,Towers with Radar,382,"2,460","3,463",138,"6,443",0,106,"1,484",81,"1,671",0,0,0,0,0,0,0,0,0,0,"8,114",
12/1989,FAI ,AK,AAL,WE,Towers with Radar,971,645,410,996,"3,022",1,0,0,2,3,0,0,0,0,0,0,0,0,0,0,"3,025",
12/1989,FAR ,ND,AGL,CE,Towers with Radar,497,722,"2,207",319,"3,745",5,56,239,7,307,0,0,0,0,0,0,0,0,0,0,"4,052",
12/1989,FAT ,CA,AWP,WE,Towers with Radar,"1,252","6,300","7,516",628,"15,696",2,561,"3,464",242,"4,269",0,0,0,0,0,0,0,0,0,0,"19,965",
12/1989,FAY ,NC,ASO,EN,Towers with Radar,536,904,"2,278","2,371","6,089",105,"1,675","2,776",624,"5,180",0,0,0,0,0,0,0,0,0,0,"11,269",
12/1989,FLO ,SC,ASO,ES,Towers with Radar,1,738,"1,212",147,"2,098",52,341,800,477,"1,670",0,0,0,0,0,0,0,0,0,0,"3,768",
Sub-Total for ASO,,,,,,537,"1,642","3,490","2,518","8,187",157,"2,016","3,576","1,101","6,850",0,0,0,0,0,0,0,0,0,0,"15,037",
12/1989,FNT ,MI,AGL,CE,Towers with Radar,201,"1,453","2,615",61,"4,330",157,216,"1,280",26,"1,679",0,0,0,0,0,0,0,0,0,0,"6,009",
12/1989,FSD ,SD,AGL,CE,Towers with Radar,921,413,"1,284",331,"2,949",0,1,204,0,205,0,0,0,0,0,0,0,0,0,0,"3,154",
Sub-Total for AGL,,,,,,"1,122","1,866","3,899",392,"7,279",157,217,"1,484",26,"1,884",0,0,0,0,0,0,0,0,0,0,"9,163",
12/1989,FSM ,AR,ASW,CE,Towers with Radar,0,"1,186","2,057",677,"3,920",0,209,492,231,932,0,0,0,0,0,0,0,0,0,0,"4,852",
12/1989,FWA ,IN,AGL,CE,Towers with Radar,"2,469","1,441","3,823",339,"8,072",116,766,"2,754",37,"3,673",0,0,0,0,0,0,0,0,0,0,"11,745",
Sub-Total for Unknown,,,,,,"13,337","21,786","39,598","7,391","82,112",617,"5,196","17,134","2,004","24,951",0,0,0,0,0,0,0,0,0,0,"107,063",
12/1989,FYV ,AR,ASW,CE,Tower without Radar,0,"1,509","1,490",3,"3,002",1,17,153,8,179,0,0,0,0,0,0,0,0,0,0,"3,181",
Sub-Total for CE,,,,,,"3,591","6,002","11,269","1,411","22,273",274,"1,209","4,883",302,"6,668",0,0,0,0,0,0,0,0,0,0,"28,941",
12/1989,G90 ,RI,ANE,EN,"TRACON, RAPCON, or CERAP","2,384","3,371","4,593",478,"10,826",281,"4,026","3,720",303,"8,330",0,0,0,0,0,0,0,0,0,0,"19,156",
12/1989,GEG ,WA,ANM,WE,Towers with Radar,"2,398","4,320","2,285","1,710","10,713",2,91,340,117,550,0,0,0,0,0,0,0,0,0,0,"11,263",
12/1989,GGG ,TX,ASW,CE,Towers with Radar,36,891,"2,738",178,"3,843",9,166,863,42,"1,080",0,0,0,0,0,0,0,0,0,0,"4,923",
Sub-Total for Unknown,,,,,,"2,434","5,211","5,023","1,888","14,556",11,257,"1,203",159,"1,630",0,0,0,0,0,0,0,0,0,0,"16,186",
12/1989,GJT ,CO,ANM,WE,Tower without Radar,641,280,434,12,"1,367",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,367",
12/1989,GPT ,MS,ASO,CE,Towers with Radar,171,373,"1,223","1,765","3,532",118,284,"1,671",730,"2,803",0,0,0,0,0,0,0,0,0,0,"6,335",
12/1989,GRB ,WI,AGL,CE,Towers with Radar,"1,512","3,077","3,014",104,"7,707",1,227,549,7,784,0,0,0,0,0,0,0,0,0,0,"8,491",
12/1989,GRR ,MI,AGL,CE,Towers with Radar,"1,959","1,903","4,148",64,"8,074",3,638,"1,251",49,"1,941",0,0,0,0,0,0,0,0,0,0,"10,015",
Sub-Total for CE,,,,,,"3,642","5,353","8,385","1,933","19,313",122,"1,149","3,471",786,"5,528",0,0,0,0,0,0,0,0,0,0,"24,841",
Sub-Total for AGL,,,,,,"3,471","4,980","7,162",168,"15,781",4,865,"1,800",56,"2,725",0,0,0,0,0,0,0,0,0,0,"18,506",
12/1989,GSO ,NC,ASO,ES,Towers with Radar,"3,592","1,422","6,276",88,"11,378",49,"1,187","2,724",130,"4,090",0,0,0,0,0,0,0,0,0,0,"15,468",
12/1989,GSP ,SC,ASO,ES,Towers with Radar,"1,682",637,"3,923",153,"6,395",45,883,"2,945",92,"3,965",0,0,0,0,0,0,0,0,0,0,"10,360",
Sub-Total for ES,,,,,,"5,274","2,059","10,199",241,"17,773",94,"2,070","5,669",222,"8,055",0,0,0,0,0,0,0,0,0,0,"25,828",
Sub-Total for ASO,,,,,,"5,274","2,059","10,199",241,"17,773",94,"2,070","5,669",222,"8,055",0,0,0,0,0,0,0,0,0,0,"25,828",
12/1989,GTF ,MT,ANM,WE,Towers with Radar,713,"1,252",941,678,"3,584",0,0,61,2,63,0,0,0,0,0,0,0,0,0,0,"3,647",
Sub-Total for Unknown,,,,,,"9,629","8,664","19,525","2,852","40,670",216,"3,219","9,201","1,010","13,646",0,0,0,0,0,0,0,0,0,0,"54,316",
12/1989,HLN ,MT,ANM,WE,Combination Non-Radar Approach Control & Tower w/o Radar,196,"1,296",251,92,"1,835",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,"1,836",
Sub-Total for ANM,,,,,,909,"2,548","1,192",770,"5,419",0,1,61,2,64,0,0,0,0,0,0,0,0,0,0,"5,483",
Sub-Total for MT,,,,,,909,"2,548","1,192",770,"5,419",0,1,61,2,64,0,0,0,0,0,0,0,0,0,0,"5,483",
12/1989,HNL ,HI,AWP,WE,Towers with Radar,"16,535","4,288","6,201","2,820","29,844",119,134,195,166,614,0,0,0,0,0,0,0,0,0,0,"30,458",
Sub-Total for WE,,,,,,"17,444","6,836","7,393","3,590","35,263",119,135,256,168,678,0,0,0,0,0,0,0,0,0,0,"35,941",
12/1989,HSV ,AL,ASO,CE,Towers with Radar,"1,699",884,"2,509",384,"5,476",10,309,"2,028",120,"2,467",0,0,0,0,0,0,0,0,0,0,"7,943",
12/1989,HTS ,WV,AEA,CE,Towers with Radar,344,653,"1,988",30,"3,015",110,523,"1,043",55,"1,731",0,0,0,0,0,0,0,0,0,0,"4,746",
12/1989,HUF ,IN,AGL,CE,Towers with Radar,14,446,"1,654",337,"2,451",85,574,"1,632",38,"2,329",0,0,0,0,0,0,0,0,0,0,"4,780",
Sub-Total for Unknown,,,,,,"18,592","6,271","12,352","3,571","40,786",324,"1,540","4,898",379,"7,141",0,0,0,0,0,0,0,0,0,0,"47,927",
12/1989,HUT ,KS,ACE,CE,Tower without Radar,0,114,"1,152",57,"1,323",0,27,99,4,130,0,0,0,0,0,0,0,0,0,0,"1,453",
Sub-Total for CE,,,,,,"2,057","2,097","7,303",808,"12,265",205,"1,433","4,802",217,"6,657",0,0,0,0,0,0,0,0,0,0,"18,922",
12/1989,IAD ,VA,AEA,EN,Towers with Radar,"9,843","2,825","4,863",502,"18,033","9,565","1,050","4,217","1,130","15,962",0,0,0,0,0,0,0,0,0,0,"33,995",
12/1989,IAH ,TX,ASW,CE,Towers with Radar,"26,684","6,155","15,971",965,"49,775",6,146,"2,777",237,"3,166",0,0,0,0,0,0,0,0,0,0,"52,941",
12/1989,ICT ,KS,ACE,CE,Towers with Radar,"2,599",996,"9,189","2,164","14,948",1,1,720,51,773,0,0,0,0,0,0,0,0,0,0,"15,721",
Sub-Total for CE,,,,,,"29,283","7,151","25,160","3,129","64,723",7,147,"3,497",288,"3,939",0,0,0,0,0,0,0,0,0,0,"68,662",
12/1989,ILM ,NC,ASO,EN,Towers with Radar,530,"1,110","2,723",416,"4,779",17,332,695,555,"1,599",0,0,0,0,0,0,0,0,0,0,"6,378",
12/1989,IND ,IN,AGL,CE,Towers with Radar,"9,634","4,295","5,531",204,"19,664",15,433,"3,187",349,"3,984",0,0,0,0,0,0,0,0,0,0,"23,648",
12/1989,ITO ,HI,AWP,WE,Towers with Radar,"1,571",121,82,296,"2,070",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,070",
12/1989,JAN ,MS,ASO,CE,Towers with Radar,"1,552",295,"2,820",541,"5,208",3,13,"1,973",177,"2,166",0,0,0,0,0,0,0,0,0,0,"7,374",
12/1989,JAX ,FL,ASO,ES,Towers with Radar,"4,219","1,687","5,643","10,623","22,172",91,223,"4,399",257,"4,970",0,0,0,0,0,0,0,0,0,0,"27,142",
Sub-Total for Unknown,,,,,,"56,632","17,484","46,822","15,711","136,649","9,698","2,198","17,968","2,756","32,620",0,0,0,0,0,0,0,0,0,0,"169,269",
Sub-Total for ASO,,,,,,"5,771","1,982","8,463","11,164","27,380",94,236,"6,372",434,"7,136",0,0,0,0,0,0,0,0,0,0,"34,516",
12/1989,K90 ,MA,ANE,EN,"TRACON, RAPCON, or CERAP",0,"2,851","1,203","1,026","5,080",0,0,0,129,129,0,0,0,0,0,0,0,0,0,0,"5,209",
12/1989,KWA ,WK,AWP,WE,Towers with Radar,72,12,4,208,296,2,2,7,0,11,0,0,0,0,0,0,0,0,0,0,307,
12/1989,L56 ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","36,404","12,483","4,239",185,"53,311",772,916,"3,894",297,"5,879",0,0,0,0,0,0,0,0,0,0,"59,190",
Sub-Total for WE,,,,,,"36,476","12,495","4,243",393,"53,607",774,918,"3,901",297,"5,890",0,0,0,0,0,0,0,0,0,0,"59,497",
Sub-Total for AWP,,,,,,"36,476","12,495","4,243",393,"53,607",774,918,"3,901",297,"5,890",0,0,0,0,0,0,0,0,0,0,"59,497",
12/1989,LAF ,IN,AGL,CE,Tower without Radar,57,661,601,25,"1,344",0,20,124,23,167,0,0,0,0,0,0,0,0,0,0,"1,511",
12/1989,LAN ,MI,AGL,CE,Towers with Radar,549,"2,083","3,866",182,"6,680",156,782,"2,571",155,"3,664",0,0,0,0,0,0,0,0,0,0,"10,344",
Sub-Total for CE,,,,,,606,"2,744","4,467",207,"8,024",156,802,"2,695",178,"3,831",0,0,0,0,0,0,0,0,0,0,"11,855",
Sub-Total for AGL,,,,,,606,"2,744","4,467",207,"8,024",156,802,"2,695",178,"3,831",0,0,0,0,0,0,0,0,0,0,"11,855",
12/1989,LAS ,NV,AWP,WE,Towers with Radar,"15,394","4,055","7,813",342,"27,604",89,474,"2,232",681,"3,476",0,0,0,0,0,0,0,0,0,0,"31,080",
12/1989,LBB ,TX,ASW,CE,Towers with Radar,"1,719",692,"3,408","9,061","14,880",1,125,621,27,774,0,0,0,0,0,0,0,0,0,0,"15,654",
12/1989,LCH ,LA,ASW,CE,Towers with Radar,0,"1,460","1,538",142,"3,140",23,401,"1,387",163,"1,974",0,0,0,0,0,0,0,0,0,0,"5,114",
Sub-Total for ASW,,,,,,"1,719","2,152","4,946","9,203","18,020",24,526,"2,008",190,"2,748",0,0,0,0,0,0,0,0,0,0,"20,768",
12/1989,LEX ,KY,ASO,CE,Towers with Radar,"1,566","1,422","3,089",199,"6,276",15,306,"1,307",156,"1,784",0,0,0,0,0,0,0,0,0,0,"8,060",
12/1989,LFT ,LA,ASW,CE,Towers with Radar,204,"3,232","3,277",358,"7,071",79,231,"1,343",152,"1,805",0,0,0,0,0,0,0,0,0,0,"8,876",
12/1989,LIT ,AR,ASW,CE,Towers with Radar,"2,835",561,"6,914","2,199","12,509",3,63,"2,024",225,"2,315",0,0,0,0,0,0,0,0,0,0,"14,824",
Sub-Total for Unknown,,,,,,"22,267","13,505","29,905","12,483","78,160",366,"2,382","11,485","1,559","15,792",0,0,0,0,0,0,0,0,0,0,"93,952",
Sub-Total for ASW,,,,,,"3,039","3,793","10,191","2,557","19,580",82,294,"3,367",377,"4,120",0,0,0,0,0,0,0,0,0,0,"23,700",
12/1989,LNK ,NE,ACE,CE,Combined TRACON & Tower with Radar,824,735,"2,479",795,"4,833",212,389,951,132,"1,684",0,0,0,0,0,0,0,0,0,0,"6,517",
12/1989,M98 ,MN,AGL,CE,"TRACON, RAPCON, or CERAP","18,735","6,612","11,583",313,"37,243",1,49,"2,575",13,"2,638",0,0,0,0,0,0,0,0,0,0,"39,881",
12/1989,MAF ,TX,ASW,CE,Towers with Radar,"1,404",388,"4,409",914,"7,115",0,4,469,64,537,0,0,0,0,0,0,0,0,0,0,"7,652",
12/1989,MBS ,MI,AGL,CE,Towers with Radar,629,586,"1,986",63,"3,264",2,357,"1,593",188,"2,140",0,0,0,0,0,0,0,0,0,0,"5,404",
Sub-Total for Unknown,,,,,,"2,033",974,"6,395",977,"10,379",2,361,"2,062",252,"2,677",0,0,0,0,0,0,0,0,0,0,"13,056",
Sub-Total for CE,,,,,,"27,916","15,688","38,683","14,044","96,331",336,"1,925","12,270","1,120","15,651",0,0,0,0,0,0,0,0,0,0,"111,982",
12/1989,MCC ,CA,AWP,WE,"TRACON, RAPCON, or CERAP","4,052","3,490","7,685","6,494","21,721",121,"1,186","9,197","1,610","12,114",0,0,0,0,0,0,0,0,0,0,"33,835",
12/1989,MCI ,MO,ACE,CE,Towers with Radar,"8,844","2,872","6,553",679,"18,948",7,178,"1,571",151,"1,907",0,0,0,0,0,0,0,0,0,0,"20,855",
12/1989,MCN ,GA,ASO,ES,Towers with Radar,249,739,"3,053","1,984","6,025",13,"1,552","3,410",291,"5,266",0,0,0,0,0,0,0,0,0,0,"11,291",
12/1989,MCO ,FL,ASO,ES,Towers with Radar,"15,083","5,426","7,448",547,"28,504",740,850,"9,512","1,101","12,203",0,0,0,0,0,0,0,0,0,0,"40,707",
Sub-Total for ES,,,,,,"15,332","6,165","10,501","2,531","34,529",753,"2,402","12,922","1,392","17,469",0,0,0,0,0,0,0,0,0,0,"51,998",
12/1989,MEM ,TN,ASO,CE,Towers with Radar,"16,011","5,389","5,481","1,378","28,259",23,156,"2,376",118,"2,673",0,0,0,0,0,0,0,0,0,0,"30,932",
Sub-Total for ASO,,,,,,"31,343","11,554","15,982","3,909","62,788",776,"2,558","15,298","1,510","20,142",0,0,0,0,0,0,0,0,0,0,"82,930",
12/1989,MFD ,OH,AGL,CE,Towers with Radar,0,187,969,412,"1,568",1,397,"1,613",14,"2,025",0,0,0,0,0,0,0,0,0,0,"3,593",
Sub-Total for Unknown,,,,,,"40,187","14,613","23,504","5,000","83,304",784,"3,133","18,482","1,675","24,074",0,0,0,0,0,0,0,0,0,0,"107,378",
Sub-Total for CE,,,,,,"16,011","5,576","6,450","1,790","29,827",24,553,"3,989",132,"4,698",0,0,0,0,0,0,0,0,0,0,"34,525",
12/1989,MFR ,OR,ANM,WE,Tower without Radar,286,"1,160","1,654",9,"3,109",0,0,24,1,25,0,0,0,0,0,0,0,0,0,0,"3,134",
12/1989,MGM ,AL,ASO,ES,Towers with Radar,345,961,"2,387","1,938","5,631",3,276,"1,955",277,"2,511",0,0,0,0,0,0,0,0,0,0,"8,142",
12/1989,MHT ,NH,ANE,EN,Towers with Radar,822,"2,064","1,919",44,"4,849",20,"1,466",575,158,"2,219",0,0,0,0,0,0,0,0,0,0,"7,068",
12/1989,MIA ,FL,ASO,ES,Towers with Radar,"34,039","11,608","15,705","2,530","63,882",60,311,"4,037",253,"4,661",0,0,0,0,0,0,0,0,0,0,"68,543",
12/1989,MKE ,WI,AGL,CE,Towers with Radar,"6,232","4,358","5,806",417,"16,813",641,"1,410","2,192",89,"4,332",0,0,0,0,0,0,0,0,0,0,"21,145",
12/1989,MKG ,MI,AGL,CE,Towers with Radar,0,892,"2,138",344,"3,374",82,297,607,19,"1,005",0,0,0,0,0,0,0,0,0,0,"4,379",
12/1989,MLI ,IL,AGL,CE,Towers with Radar,731,"2,074","2,801",166,"5,772",46,321,"1,398",48,"1,813",0,0,0,0,0,0,0,0,0,0,"7,585",
Sub-Total for AGL,,,,,,"6,963","7,324","10,745",927,"25,959",769,"2,028","4,197",156,"7,150",0,0,0,0,0,0,0,0,0,0,"33,109",
12/1989,MLU ,LA,ASW,CE,Towers with Radar,432,782,"2,889",145,"4,248",1,48,654,103,806,0,0,0,0,0,0,0,0,0,0,"5,054",
12/1989,MOB ,AL,ASO,CE,Towers with Radar,"1,439",595,"3,513","1,856","7,403",16,220,"1,304","1,241","2,781",0,0,0,0,0,0,0,0,0,0,"10,184",
Sub-Total for CE,,,,,,"8,834","8,701","17,147","2,928","37,610",786,"2,296","6,155","1,500","10,737",0,0,0,0,0,0,0,0,0,0,"48,347",
12/1989,MRY ,CA,AWP,WE,Towers with Radar,616,"1,858","6,687",568,"9,729",0,52,"1,007",145,"1,204",0,0,0,0,0,0,0,0,0,0,"10,933",
12/1989,MSN ,WI,AGL,CE,Towers with Radar,"1,434","1,084","4,186",514,"7,218",1,417,"1,392",48,"1,858",0,0,0,0,0,0,0,0,0,0,"9,076",
Sub-Total for Unknown,,,,,,"46,090","26,276","48,031","8,522","128,919",870,"4,818","15,121","2,381","23,190",0,0,0,0,0,0,0,0,0,0,"152,109",
12/1989,MSO ,MT,ANM,WE,Tower without Radar,330,853,296,4,"1,483",2,4,5,0,11,0,0,0,0,0,0,0,0,0,0,"1,494",
12/1989,MSY ,LA,ASW,CE,Towers with Radar,"7,703","2,310","5,304","1,677","16,994",18,291,"2,064",260,"2,633",0,0,0,0,0,0,0,0,0,0,"19,627",
12/1989,MWH ,WA,ANM,WE,Tower without Radar,715,435,"1,610",266,"3,026",2,91,58,15,166,0,0,0,0,0,0,0,0,0,0,"3,192",
12/1989,N90 ,NY,AEA,EN,Combined TRACON,"65,587","28,763","29,871",645,"124,866",0,"3,130","7,548",106,"10,784",0,0,0,0,0,0,0,0,0,0,"135,650",
