,0
trcn_out_flfrm_narrsyn_1m,50
trcn_out_flfrm_ct_narrsyn_1m,50
trcn_out_flfrm_vol_narrsyn_1m,50
trcn_invall_flfrm_narrsyn_1m,6327
trcn_invall_flfrm_ct_narrsyn_1m,6327
trcn_all_flfrm_narrsyn_1m,50
trcn_all_flfrm_ct_narrsyn_1m,50
trcn_all_flfrm_vol_narrsyn_1m,50
trcn_narrsyn_1m,10674
trcn_ct_narrsyn_1m,10674
trcn_vol_narrsyn_1m,10674
trcn_invout_narrsyn_1m,6327
trcn_invout_ct_narrsyn_1m,6327
trcn_out_narrsyn_1m,50
trcn_out_ct_narrsyn_1m,50
trcn_out_vol_narrsyn_1m,50
trcn_invall_narrsyn_1m,6327
trcn_invall_ct_narrsyn_1m,6327
trcn_all_narrsyn_1m,50
trcn_all_ct_narrsyn_1m,50
trcn_all_vol_narrsyn_1m,50
trcn_flfrm_narrsyn_3m,4860
trcn_flfrm_ct_narrsyn_3m,4860
trcn_flfrm_vol_narrsyn_3m,4860
trcn_invout_flfrm_narrsyn_3m,2250
trcn_invout_flfrm_ct_narrsyn_3m,2250
trcn_out_flfrm_narrsyn_3m,150
trcn_out_flfrm_ct_narrsyn_3m,150
trcn_out_flfrm_vol_narrsyn_3m,150
trcn_invall_flfrm_narrsyn_3m,2250
trcn_invall_flfrm_ct_narrsyn_3m,2250
trcn_all_flfrm_narrsyn_3m,150
trcn_all_flfrm_ct_narrsyn_3m,150
trcn_all_flfrm_vol_narrsyn_3m,150
trcn_narrsyn_3m,4860
trcn_ct_narrsyn_3m,4860
trcn_vol_narrsyn_3m,4860
trcn_invout_narrsyn_3m,2250
trcn_invout_ct_narrsyn_3m,2250
trcn_out_narrsyn_3m,150
trcn_out_ct_narrsyn_3m,150
trcn_out_vol_narrsyn_3m,150
trcn_invall_narrsyn_3m,2250
trcn_invall_ct_narrsyn_3m,2250
trcn_all_narrsyn_3m,150
trcn_all_ct_narrsyn_3m,150
trcn_all_vol_narrsyn_3m,150
trcn_flfrm_narrsyn_6m,2224
trcn_flfrm_ct_narrsyn_6m,2224
trcn_flfrm_vol_narrsyn_6m,2224
trcn_invout_flfrm_narrsyn_6m,982
trcn_invout_flfrm_ct_narrsyn_6m,982
trcn_out_flfrm_narrsyn_6m,300
trcn_out_flfrm_ct_narrsyn_6m,300
trcn_out_flfrm_vol_narrsyn_6m,300
